Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1483705,17.1610236,137.403,0.083,0.01,1650038574489000,158,3
6490,48.1483705,17.1610235,137.411,0.043,0.08,1650038580979000,186,3
6600,48.1483704,17.1610237,137.41,0.108,0.08,1650038581089000,186,3
6655,48.1483705,17.1610235,137.421,0.056,0.05,1650038581144000,186,3
6710,48.1483704,17.1610236,137.416,0.044,0.01,1650038581199000,186,3
7095,48.1483703,17.1610237,137.407,0.074,0.07,1650038581584000,186,3
7205,48.1483701,17.1610236,137.427,0.129,0.08,1650038581694000,173,3
7315,48.1483699,17.1610239,137.414,0.21,0.16,1650038581804000,173,3
7370,48.1483696,17.1610241,137.373,0.279,0.26,1650038581859000,173,3
7590,48.1483692,17.1610241,137.371,0.278,0.32,1650038582079000,173,3
7645,48.1483691,17.1610243,137.397,0.214,0.19,1650038582134000,173,3
7700,48.1483688,17.1610245,137.357,0.27,0.26,1650038582189000,173,3
7810,48.1483688,17.1610246,137.371,0.098,0.19,1650038582299000,173,3
8195,48.1483691,17.1610244,137.365,0.108,0.06,1650038582684000,158,3
8305,48.1483696,17.1610243,137.347,0.223,0.21,1650038582794000,158,3
8360,48.1483695,17.1610238,137.364,0.188,0.16,1650038582849000,173,3
8470,48.1483691,17.1610231,137.387,0.35,0.3,1650038582959000,158,3
8855,48.1483692,17.1610232,137.379,0.043,0.12,1650038583344000,158,3
8965,48.1483694,17.1610227,137.36,0.155,0.07,1650038583454000,158,3
9020,48.1483692,17.1610217,137.416,0.373,0.31,1650038583509000,158,3
9075,48.1483693,17.1610198,137.44,0.741,0.58,1650038583564000,158,3
9515,48.1483693,17.161017,137.436,1.129,0.97,1650038584004000,154,3
9625,48.1483694,17.1610138,137.416,1.336,1.32,1650038584114000,154,3
9680,48.1483693,17.1610111,137.414,1.198,1.23,1650038584169000,154,3
9735,48.1483688,17.1610082,137.446,1.313,1.3,1650038584224000,154,3
10230,48.148368,17.1610053,137.426,1.347,1.32,1650038584719000,154,3
10285,48.1483673,17.1610016,137.433,1.625,1.56,1650038584774000,154,3
10340,48.148367,17.1609973,137.387,1.834,1.8,1650038584829000,154,3
10450,48.1483662,17.1609942,137.413,1.607,1.56,1650038584939000,154,3
10890,48.1483653,17.1609905,137.468,1.726,1.7,1650038585379000,184,3
10945,48.1483648,17.1609859,137.502,2.001,1.96,1650038585434000,154,3
11000,48.148364,17.1609823,137.562,1.909,1.89,1650038585489000,154,3
11110,48.1483638,17.1609782,137.568,1.871,1.88,1650038585599000,154,3
11660,48.1483631,17.1609739,137.58,1.787,1.74,1650038586149000,154,3
11770,48.148362,17.1609689,137.592,1.979,1.89,1650038586259000,154,3
11825,48.1483608,17.1609646,137.593,1.994,2.05,1650038586314000,154,3
11880,48.1483596,17.1609596,137.556,2.307,2.14,1650038586369000,154,3
12375,48.1483588,17.1609554,137.515,2.334,2.22,1650038586864000,154,3
12430,48.1483576,17.1609511,137.534,2.4,2.39,1650038586919000,154,3
12540,48.1483571,17.1609457,137.506,2.398,2.48,1650038587029000,154,3
12595,48.1483562,17.16094,137.465,2.525,2.45,1650038587084000,154,3
12925,48.1483554,17.1609338,137.483,2.594,2.64,1650038587414000,154,3
12980,48.1483537,17.1609287,137.462,2.6,2.51,1650038587469000,154,3
13035,48.1483521,17.1609232,137.383,2.784,2.78,1650038587524000,154,3
13145,48.1483504,17.1609175,137.397,2.78,2.76,1650038587634000,154,3
13640,48.1483486,17.1609114,137.456,2.864,2.84,1650038588129000,154,3
13750,48.1483471,17.1609055,137.457,2.805,2.81,1650038588239000,154,3
13805,48.1483459,17.160899,137.484,2.879,2.92,1650038588294000,154,3
13915,48.1483448,17.1608924,137.494,2.946,2.92,1650038588404000,154,3
14300,48.1483439,17.1608859,137.418,3.014,2.98,1650038588789000,154,3
14410,48.1483426,17.1608792,137.387,3.042,2.99,1650038588899000,154,3
14465,48.1483417,17.1608729,137.313,2.89,2.93,1650038588954000,154,3
14575,48.1483409,17.160865,137.22,2.995,3.02,1650038589064000,154,3
15070,48.1483396,17.1608576,137.132,3.014,2.94,1650038589559000,154,3
15180,48.148339,17.1608507,137.094,3.036,3.04,1650038589669000,154,3
15235,48.1483387,17.1608436,137.062,3.1,3.11,1650038589724000,154,3
15345,48.1483377,17.1608362,137.1,3.313,3.24,1650038589834000,154,3
