Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1483705,17.1610236,137.403,0.083
6490,48.1483705,17.1610235,137.411,0.043
6600,48.1483704,17.1610237,137.41,0.108
6655,48.1483705,17.1610235,137.421,0.056
6710,48.1483704,17.1610236,137.416,0.044
7095,48.1483703,17.1610237,137.407,0.074
7205,48.1483701,17.1610236,137.427,0.129
7315,48.1483699,17.1610239,137.414,0.21
7370,48.1483696,17.1610241,137.373,0.279
7590,48.1483692,17.1610241,137.371,0.278
7645,48.1483691,17.1610243,137.397,0.214
7700,48.1483688,17.1610245,137.357,0.27
7810,48.1483688,17.1610246,137.371,0.098
8195,48.1483691,17.1610244,137.365,0.108
8305,48.1483696,17.1610243,137.347,0.223
8360,48.1483695,17.1610238,137.364,0.188
8470,48.1483691,17.1610231,137.387,0.35
8855,48.1483692,17.1610232,137.379,0.043
8965,48.1483694,17.1610227,137.36,0.155
9020,48.1483692,17.1610217,137.416,0.373
9075,48.1483693,17.1610198,137.44,0.741
9515,48.1483693,17.161017,137.436,1.129
9625,48.1483694,17.1610138,137.416,1.336
9680,48.1483693,17.1610111,137.414,1.198
9735,48.1483688,17.1610082,137.446,1.313
10230,48.148368,17.1610053,137.426,1.347
10285,48.1483673,17.1610016,137.433,1.625
10340,48.148367,17.1609973,137.387,1.834
10450,48.1483662,17.1609942,137.413,1.607
10890,48.1483653,17.1609905,137.468,1.726
10945,48.1483648,17.1609859,137.502,2.001
11000,48.148364,17.1609823,137.562,1.909
11110,48.1483638,17.1609782,137.568,1.871
11660,48.1483631,17.1609739,137.58,1.787
11770,48.148362,17.1609689,137.592,1.979
11825,48.1483608,17.1609646,137.593,1.994
11880,48.1483596,17.1609596,137.556,2.307
12375,48.1483588,17.1609554,137.515,2.334
12430,48.1483576,17.1609511,137.534,2.4
12540,48.1483571,17.1609457,137.506,2.398
12595,48.1483562,17.16094,137.465,2.525
12925,48.1483554,17.1609338,137.483,2.594
12980,48.1483537,17.1609287,137.462,2.6
13035,48.1483521,17.1609232,137.383,2.784
13145,48.1483504,17.1609175,137.397,2.78
13640,48.1483486,17.1609114,137.456,2.864
13750,48.1483471,17.1609055,137.457,2.805
13805,48.1483459,17.160899,137.484,2.879
13915,48.1483448,17.1608924,137.494,2.946
14300,48.1483439,17.1608859,137.418,3.014
14410,48.1483426,17.1608792,137.387,3.042
14465,48.1483417,17.1608729,137.313,2.89
14575,48.1483409,17.160865,137.22,2.995
15070,48.1483396,17.1608576,137.132,3.014
15180,48.148339,17.1608507,137.094,3.036
15235,48.1483387,17.1608436,137.062,3.1
15345,48.1483377,17.1608362,137.1,3.313
15675,48.1483378,17.1608294,137.003,3.119
15730,48.1483378,17.1608217,136.974,3.207
15840,48.1483374,17.1608139,137.005,3.26
15895,48.1483371,17.1608062,137.053,3.319
16280,48.1483364,17.1607992,136.996,3.247
16390,48.1483359,17.1607922,137.021,3.126
16500,48.1483355,17.1607852,136.98,3.182
16555,48.1483345,17.1607779,136.995,3.277
17050,48.1483337,17.1607707,136.961,3.332
17105,48.1483329,17.1607634,136.977,3.234
17215,48.1483324,17.1607562,136.975,3.256
17270,48.1483316,17.160749,136.939,3.281
17655,48.1483304,17.1607416,136.912,3.366
17765,48.148329,17.160734,136.975,3.394
17820,48.1483281,17.1607266,137.026,3.322
17930,48.1483268,17.1607197,136.883,3.347
18260,48.1483261,17.160713,136.728,3.265
18315,48.1483244,17.1607056,136.69,3.461
18425,48.1483228,17.1606986,136.562,3.445
18480,48.1483218,17.1606911,136.623,3.368
18810,48.148321,17.1606829,136.696,3.431
18920,48.1483203,17.1606752,136.745,3.372
19030,48.1483195,17.1606671,136.782,3.443
