Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1485238,17.1304017,132.441,2.705,2.73,1650041792704000,166,3
55,48.1485207,17.1304053,132.51,2.582,2.71,1650041792759000,166,3
165,48.1485183,17.1304083,132.544,2.592,2.57,1650041792869000,166,3
550,48.1485164,17.130411,132.601,2.614,2.67,1650041793254000,169,3
605,48.148515,17.1304136,132.533,2.576,2.45,1650041793309000,169,3
715,48.1485132,17.1304165,132.572,2.648,2.67,1650041793419000,169,3
770,48.1485115,17.1304203,132.578,2.351,2.43,1650041793474000,169,3
1265,48.1485098,17.1304255,132.59,2.325,2.36,1650041793969000,169,3
1320,48.1485083,17.1304295,132.479,2.24,2.22,1650041794024000,169,3
1375,48.1485075,17.1304343,132.582,2.391,2.35,1650041794079000,169,3
1485,48.1485072,17.1304386,132.537,2.395,2.4,1650041794189000,169,3
1870,48.1485069,17.1304443,132.579,2.554,2.47,1650041794574000,169,3
1980,48.1485068,17.13045,132.543,2.634,2.55,1650041794684000,169,3
2035,48.148507,17.130456,132.497,2.765,2.77,1650041794739000,169,3
2090,48.1485067,17.1304614,132.504,2.89,2.76,1650041794794000,169,3
2530,48.1485064,17.1304645,132.509,2.896,2.91,1650041795234000,169,3
2640,48.1485061,17.1304701,132.546,3.044,2.89,1650041795344000,169,3
2695,48.1485064,17.1304759,132.574,3.17,3.06,1650041795399000,169,3
2750,48.1485068,17.130482,132.603,3.282,3.33,1650041795454000,169,3
3190,48.1485074,17.1304884,132.636,3.449,3.32,1650041795894000,169,3
3300,48.1485083,17.1304962,132.631,3.547,3.54,1650041796004000,169,3
3355,48.14851,17.1305042,132.728,3.59,3.54,1650041796059000,169,3
3410,48.1485114,17.1305119,132.723,3.569,3.57,1650041796114000,169,3
3850,48.1485132,17.1305195,132.749,3.616,3.56,1650041796554000,169,3
3960,48.1485153,17.1305277,132.772,3.828,3.77,1650041796664000,169,3
4015,48.1485168,17.1305358,132.79,3.73,3.77,1650041796719000,169,3
4070,48.148519,17.1305438,132.778,3.876,3.83,1650041796774000,169,3
4620,48.1485214,17.1305518,132.792,3.892,3.84,1650041797324000,169,3
4675,48.1485238,17.1305598,132.766,3.929,3.95,1650041797379000,169,3
4730,48.1485259,17.1305679,132.686,3.982,3.95,1650041797434000,169,3
4840,48.1485287,17.1305757,132.7,3.96,3.96,1650041797544000,169,3
5225,48.1485311,17.1305836,132.633,3.952,3.93,1650041797929000,169,3
5280,48.1485354,17.1305928,132.69,4.125,4.04,1650041797984000,169,3
5390,48.1485392,17.1306019,132.752,4.05,4.08,1650041798094000,172,3
5445,48.148543,17.1306096,132.797,4.16,4.16,1650041798149000,172,3
5940,48.148547,17.1306172,132.791,4.29,4.15,1650041798644000,169,3
5995,48.1485512,17.1306251,132.85,4.335,4.36,1650041798699000,169,3
6050,48.1485554,17.130633,132.95,4.347,4.32,1650041798754000,169,3
6160,48.1485594,17.1306408,132.996,4.36,4.35,1650041798864000,169,3
6545,48.1485635,17.1306488,133.007,4.463,4.45,1650041799249000,169,3
6655,48.1485682,17.130657,133.052,4.609,4.71,1650041799359000,179,3
6710,48.1485726,17.1306645,133.269,4.336,4.33,1650041799414000,169,3
6765,48.1485776,17.1306725,133.254,4.724,4.6,1650041799469000,169,3
7205,48.1485827,17.1306805,133.294,4.776,4.72,1650041799909000,166,3
7315,48.1485876,17.1306882,133.339,4.704,4.71,1650041800019000,166,3
7370,48.1485924,17.130696,133.425,4.598,4.73,1650041800074000,166,3
7425,48.1485973,17.1307034,133.517,4.571,4.54,1650041800129000,166,3
7865,48.1486024,17.1307108,133.623,4.669,4.58,1650041800569000,166,3
7975,48.1486076,17.1307187,133.639,4.831,4.85,1650041800679000,166,3
8030,48.1486123,17.1307268,133.78,4.762,4.81,1650041800734000,173,3
8085,48.1486171,17.1307352,133.866,4.785,4.8,1650041800789000,173,3
8525,48.1486217,17.1307438,133.927,4.859,4.76,1650041801229000,173,3
8635,48.1486264,17.1307528,133.98,5.041,4.96,1650041801339000,173,3
8690,48.1486311,17.1307618,133.977,5.043,5.06,1650041801394000,166,3
8745,48.1486351,17.130771,133.986,4.864,5.01,1650041801449000,166,3
9296,48.1486389,17.1307808,133.913,5.005,4.97,1650041802000000,166,3
9350,48.1486425,17.130791,133.887,5.112,5.05,1650041802054000,166,3
9405,48.148646,17.1308013,133.835,5.107,5.01,1650041802109000,166,3
9515,48.1486492,17.1308118,133.794,5.056,5.08,1650041802219000,166,3
9900,48.1486521,17.1308222,133.746,5.162,5.2,1650041802604000,166,3
9955,48.1486549,17.1308325,133.708,5.15,5.15,1650041802659000,166,3
10065,48.1486582,17.1308446,133.72,5.138,5.07,1650041802769000,166,3
10120,48.1486611,17.1308576,133.743,5.225,5.22,1650041802824000,166,3
10615,48.1486636,17.1308686,133.681,5.18,5.22,1650041803319000,166,3
10670,48.1486662,17.1308798,133.687,5.352,5.25,1650041803374000,166,3
10725,48.1486679,17.1308908,133.632,5.229,5.15,1650041803429000,166,3
10835,48.1486701,17.130902,133.63,5.193,5.31,1650041803539000,166,3
11220,48.1486726,17.1309132,133.614,5.341,5.28,1650041803924000,166,3
11330,48.1486752,17.1309244,133.627,5.327,5.3,1650041804034000,166,3
11385,48.1486776,17.1309356,133.563,5.315,5.31,1650041804089000,166,3
11440,48.1486802,17.1309466,133.5,5.177,5.23,1650041804144000,166,3
11880,48.1486829,17.1309583,133.534,5.39,5.39,1650041804584000,166,3
11990,48.1486853,17.1309698,133.502,5.379,5.44,1650041804694000,166,3
12045,48.1486887,17.1309809,133.519,5.379,5.29,1650041804749000,166,3
12100,48.1486914,17.1309922,133.498,5.342,5.4,1650041804804000,166,3
12705,48.1486942,17.1310032,133.452,5.311,5.31,1650041805409000,166,3
12760,48.1486969,17.1310144,133.416,5.311,5.31,1650041805464000,166,3
12870,48.1486988,17.131026,133.377,5.368,5.31,1650041805574000,166,3
12925,48.148701,17.1310376,133.307,5.354,5.45,1650041805629000,166,3
13365,48.1487034,17.1310492,133.333,5.43,5.35,1650041806069000,166,3
13475,48.1487061,17.1310602,133.283,5.242,5.34,1650041806179000,166,3
13530,48.1487087,17.1310709,133.2,5.212,5.19,1650041806234000,166,3
13585,48.1487112,17.1310819,133.198,5.232,5.19,1650041806289000,166,3
14025,48.1487137,17.1310928,133.082,5.247,5.3,1650041806729000,166,3
14135,48.1487158,17.1311034,132.983,5.189,5.02,1650041806839000,166,3
14190,48.1487184,17.1311142,132.904,5.172,5.23,1650041806894000,166,3
14300,48.1487214,17.1311247,132.827,5.206,5.23,1650041807004000,166,3
14685,48.148724,17.1311348,132.701,5.057,5.08,1650041807389000,173,3
14795,48.1487265,17.1311455,132.601,5.132,5.15,1650041807499000,173,3
14850,48.1487295,17.131156,132.577,5.104,5.08,1650041807554000,166,3
14960,48.1487327,17.1311685,132.509,5.096,5.14,1650041807664000,166,3
15345,48.1487362,17.1311807,132.461,5.088,5.1,1650041808049000,166,3
15455,48.148739,17.1311911,132.419,5.05,5.12,1650041808159000,166,3
15565,48.1487417,17.1312015,132.358,5.05,5.04,1650041808269000,166,3
15620,48.148745,17.1312119,132.322,5.029,5.13,1650041808324000,166,3
16005,48.1487483,17.1312224,132.279,5.14,5.07,1650041808709000,166,3
16115,48.1487514,17.1312328,132.303,4.995,5.05,1650041808819000,166,3
16225,48.1487543,17.1312433,132.186,5.115,5.1,1650041808929000,166,3
16280,48.1487582,17.1312531,132.247,4.932,4.99,1650041808984000,166,3
16665,48.1487617,17.1312632,132.201,5.056,5.04,1650041809369000,166,3
16775,48.1487646,17.1312735,132.196,4.99,5.03,1650041809479000,166,3
16885,48.1487671,17.1312836,132.095,4.877,4.94,1650041809589000,166,3
16995,48.1487699,17.131294,132.031,4.965,4.93,1650041809699000,166,3
17380,48.1487727,17.1313043,132.021,4.877,4.94,1650041810084000,173,3
17490,48.1487754,17.1313145,131.954,4.89,4.87,1650041810194000,166,3
17600,48.1487781,17.1313248,131.919,4.892,4.85,1650041810304000,173,3
17710,48.1487808,17.1313347,131.887,4.759,4.81,1650041810414000,173,3
17985,48.1487839,17.1313465,131.855,4.817,4.85,1650041810689000,166,3
18095,48.148787,17.1313581,131.861,4.758,4.72,1650041810799000,169,3
18205,48.1487891,17.1313676,131.767,4.527,4.77,1650041810909000,166,3
18315,48.1487919,17.1313769,131.715,4.581,4.49,1650041811019000,166,3
18645,48.1487942,17.1313864,131.643,4.502,4.57,1650041811349000,169,3
18700,48.1487959,17.1313959,131.509,4.47,4.49,1650041811404000,169,3
18755,48.1487981,17.1314057,131.489,4.485,4.5,1650041811459000,166,3
18865,48.1488001,17.1314151,131.469,4.395,4.4,1650041811569000,169,3
19250,48.1488028,17.1314244,131.411,4.448,4.44,1650041811954000,213,3
19360,48.1488049,17.131434,131.352,4.484,4.46,1650041812064000,213,3
19415,48.1488068,17.1314431,131.28,4.258,4.31,1650041812119000,213,3
19525,48.1488089,17.1314521,131.138,4.263,4.28,1650041812229000,190,3
19855,48.1488105,17.1314609,130.994,4.175,4.21,1650041812559000,213,3
19965,48.1488125,17.1314698,130.864,4.265,4.28,1650041812669000,213,3
20020,48.1488146,17.1314787,130.835,4.236,4.24,1650041812724000,213,3
20130,48.1488166,17.1314875,130.727,4.252,4.24,1650041812834000,213,3
20625,48.1488187,17.1314961,130.659,4.108,4.2,1650041813329000,213,3
20680,48.14882,17.1315047,130.456,4.165,4.25,1650041813384000,213,3
20735,48.1488222,17.1315132,130.346,4.147,4.12,1650041813439000,213,3
20845,48.1488238,17.1315224,130.291,4.201,4.2,1650041813549000,213,3
21230,48.1488257,17.1315313,130.186,4.122,4.28,1650041813934000,213,3
21340,48.1488277,17.1315402,130.119,4.185,4.17,1650041814044000,213,3
21395,48.1488292,17.1315489,129.931,4.102,4.2,1650041814099000,213,3
