Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1385119,17.0795562,139.728,4.602
440,48.1385151,17.0795329,139.702,4.614
825,48.1385191,17.0795098,139.646,4.632
1210,48.1385225,17.0794862,139.653,4.632
1650,48.1385258,17.0794594,139.591,4.719
2035,48.138529,17.0794356,139.589,4.717
2420,48.1385323,17.0794084,139.558,4.69
2860,48.1385352,17.0793849,139.555,4.614
3245,48.1385383,17.0793614,139.55,4.645
3630,48.1385408,17.0793378,139.602,4.706
4015,48.1385437,17.0793148,139.597,4.691
4400,48.1385472,17.0792889,139.616,4.564
4840,48.1385499,17.0792656,139.61,4.513
5225,48.1385528,17.0792428,139.656,4.515
5610,48.1385563,17.079217,139.656,4.531
6050,48.1385589,17.0791944,139.65,4.325
6435,48.1385617,17.0791686,139.674,4.422
6820,48.1385645,17.0791462,139.72,4.367
7260,48.1385663,17.0791233,139.732,4.59
7645,48.1385681,17.0791004,139.733,4.446
8030,48.1385701,17.0790776,139.781,4.403
8415,48.1385715,17.0790543,139.868,4.654
8855,48.1385732,17.079032,139.888,4.275
9240,48.1385754,17.0790089,139.886,4.472
9625,48.1385769,17.0789825,139.918,4.469
10010,48.1385785,17.0789565,139.962,4.358
10450,48.1385805,17.0789305,140.013,4.429
10835,48.1385818,17.0789078,140.009,4.361
11220,48.1385837,17.0788856,140.037,4.314
11605,48.1385857,17.0788633,140.065,4.444
12045,48.1385872,17.078844,140.011,4.433
12430,48.1385891,17.0788184,140.042,4.321
12815,48.1385907,17.0787993,140.084,4.203
13200,48.1385923,17.0787768,140.051,4.492
13640,48.1385937,17.0787477,140.08,4.404
14025,48.1385951,17.0787248,140.1,4.487
14410,48.1385965,17.0786985,140.102,4.439
14850,48.1385973,17.0786755,140.141,4.482
15235,48.1385995,17.0786498,139.967,4.498
15620,48.1386005,17.0786269,140.022,4.483
16005,48.1386012,17.0786047,140.017,4.246
16445,48.1386022,17.0785822,140.103,4.312
16830,48.1386027,17.0785599,140.184,4.377
17215,48.138603,17.0785375,140.179,4.3
17655,48.1386036,17.0785147,140.203,4.454
18040,48.1386036,17.0784892,140.211,4.243
18425,48.1386037,17.0784635,140.2,4.296
18810,48.1386044,17.0784415,140.191,4.189
19250,48.1386056,17.0784191,140.13,4.377
19635,48.1386059,17.0783977,140.194,4.177
20020,48.1386069,17.0783755,140.206,4.212
20405,48.138608,17.0783499,140.21,4.369
20845,48.1386081,17.0783279,140.256,4.262
21230,48.1386084,17.0783036,140.318,4.197
21615,48.1386088,17.0782822,140.389,4.107
22055,48.1386086,17.0782577,140.339,4.127
22440,48.1386087,17.0782369,140.483,3.938
22825,48.1386085,17.078216,140.582,4.022
23210,48.1386083,17.0781952,140.605,3.939
23650,48.1386077,17.0781744,140.553,3.906
24035,48.1386074,17.0781563,140.549,3.971
24420,48.1386069,17.0781327,140.555,3.986
24860,48.1386062,17.0781119,140.614,3.927
25245,48.1386058,17.078092,140.641,3.754
25630,48.1386062,17.0780692,140.735,3.883
26015,48.1386061,17.0780459,140.729,3.995
26400,48.1386057,17.0780256,140.739,3.9
26840,48.1386058,17.0780027,140.743,3.828
27225,48.1386052,17.077982,140.78,4.038
27610,48.1386041,17.0779614,140.794,3.947
28050,48.1386032,17.077941,140.841,3.893
28435,48.1386024,17.07792,140.902,4.046
28820,48.1386009,17.0778987,140.976,4.06
29205,48.1385994,17.0778774,141.053,4.083
29645,48.1385983,17.0778529,141.052,4.196
30030,48.1385972,17.0778311,140.996,4.203
30415,48.1385956,17.0778062,140.954,4.202
30855,48.1385945,17.0777845,140.976,4.125
31240,48.1385929,17.0777624,141.037,4.371
31625,48.1385914,17.0777405,141.064,4.174
32010,48.1385904,17.0777153,141.073,4.263
32450,48.1385891,17.0776931,141.045,4.294
32835,48.1385873,17.0776675,141.011,4.261
33220,48.1385862,17.0776451,141.037,4.404
33660,48.1385848,17.0776228,140.986,4.427
34045,48.1385831,17.0776002,140.976,4.325
34430,48.1385817,17.0775776,141.015,4.5
34815,48.1385805,17.077555,141.086,4.465
35200,48.1385788,17.0775323,141.079,4.338
35640,48.1385775,17.077506,141.11,4.446
36025,48.1385755,17.0774829,141.094,4.584
36410,48.1385729,17.0774566,141.088,4.5
36850,48.1385712,17.0774332,141.129,4.609
37235,48.1385696,17.0774099,141.071,4.639
37620,48.1385675,17.0773868,141.059,4.545
38005,48.1385657,17.0773602,141.053,4.502
38445,48.1385637,17.0773374,141.041,4.465
38830,48.1385615,17.0773139,141.071,4.466
39215,48.1385591,17.0772872,141.081,4.503
39655,48.1385566,17.0772641,141.076,4.584
40040,48.1385537,17.0772411,141.084,4.511
40425,48.138551,17.0772177,141.044,4.431
40810,48.1385472,17.0771911,141.052,4.55
41250,48.1385441,17.0771679,141.05,4.494
41635,48.138541,17.0771444,141.075,4.529
42020,48.1385373,17.077118,141.051,4.561
42405,48.1385342,17.0770945,141.068,4.595
42845,48.1385313,17.077071,141.104,4.628
43230,48.1385275,17.0770446,141.034,4.612
43615,48.1385245,17.0770214,141.069,4.554
44055,48.1385218,17.076998,141.18,4.582
44440,48.1385186,17.0769751,141.212,4.578
44825,48.1385154,17.0769521,141.237,4.477
45210,48.138512,17.0769289,141.258,4.593
45650,48.1385076,17.0769036,141.373,4.367
46035,48.1385033,17.0768807,141.44,4.61
46420,48.138499,17.0768547,141.515,4.504
46805,48.138495,17.0768321,141.57,4.525
47245,48.1384912,17.0768094,141.604,4.571
47630,48.1384876,17.0767866,141.653,4.518
48015,48.1384831,17.0767604,141.708,4.603
48400,48.1384793,17.0767373,141.685,4.561
48840,48.1384758,17.0767138,141.634,4.558
49225,48.1384717,17.0766907,141.655,4.529
49610,48.1384673,17.0766645,141.681,4.549
50050,48.1384633,17.0766413,141.721,4.532
50435,48.1384591,17.0766185,141.794,4.484
50820,48.1384549,17.0765958,141.853,4.533
51205,48.1384504,17.0765698,141.852,4.334
51645,48.1384456,17.0765468,141.855,4.665
52030,48.1384409,17.0765244,141.903,4.517
52415,48.1384362,17.0765009,141.934,4.701
52855,48.1384305,17.0764744,141.9,4.744
53240,48.1384258,17.0764508,141.954,4.852
53625,48.1384213,17.0764271,142.012,4.854
54065,48.1384158,17.0763997,142.026,4.906
54450,48.1384112,17.0763763,142.067,4.599
54835,48.1384052,17.0763486,142.213,4.783
55220,48.1384001,17.0763243,142.246,4.808
55660,48.1383953,17.0762999,142.325,4.954
56045,48.1383902,17.0762754,142.306,5.007
56430,48.1383854,17.0762511,142.341,4.851
56815,48.1383803,17.0762264,142.38,4.964
57255,48.1383755,17.0762019,142.333,4.863
57640,48.1383698,17.0761734,142.376,4.981
58025,48.138365,17.0761484,142.364,4.988
58410,48.1383592,17.07612,142.433,5.027
58850,48.1383539,17.0760954,142.422,4.963
59235,48.1383488,17.0760705,142.51,5.021
59620,48.1383437,17.076046,142.503,4.824
60005,48.1383383,17.0760182,142.599,4.828
60445,48.1383334,17.075994,142.686,4.881
60830,48.1383289,17.0759703,142.759,4.642
61215,48.1383241,17.0759441,142.921,4.546
61655,48.1383201,17.0759204,142.949,4.769
62040,48.138316,17.0758974,143,4.48
62425,48.1383116,17.0758743,143.026,4.546
62810,48.1383062,17.0758489,143.082,4.461
63250,48.1383016,17.0758264,143.128,4.477
63635,48.1382966,17.0758047,143.228,4.476
64020,48.1382918,17.0757838,143.329,4.164
64405,48.1382864,17.0757588,143.415,4.301
64845,48.1382805,17.0757346,143.522,4.37
65230,48.1382759,17.0757137,143.616,4.161
65615,48.1382712,17.0756925,143.645,4.181
66055,48.1382668,17.0756713,143.706,4.291
66440,48.1382624,17.0756511,143.806,4.167
66825,48.1382577,17.0756277,143.93,4.228
67210,48.138253,17.0756072,144.023,4.184
67650,48.1382491,17.0755897,144.102,4.094
68035,48.1382445,17.0755695,144.2,4.071
68420,48.1382387,17.0755429,144.285,4.121
68860,48.1382342,17.0755228,144.337,4.027
69245,48.1382298,17.0755023,144.403,4.192
69630,48.1382253,17.075482,144.471,4.017
70015,48.1382206,17.0754616,144.502,4.065
70400,48.1382156,17.0754385,144.588,4.072
70840,48.1382119,17.0754184,144.698,3.853
71225,48.1382079,17.0753991,144.799,3.785
71610,48.1382033,17.075377,144.913,3.778
72050,48.1382,17.0753578,145.026,3.891
72435,48.1381968,17.0753376,145.04,4.049
72820,48.1381934,17.0753152,145.094,3.881
73260,48.1381901,17.0752966,145.156,3.81
73645,48.1381868,17.075277,145.199,3.888
74030,48.138183,17.0752576,145.275,3.867
74415,48.1381785,17.0752357,145.384,3.838
74855,48.1381746,17.0752155,145.517,4.145
75240,48.1381708,17.0751956,145.573,3.892
75625,48.1381664,17.0751755,145.602,4.022
76010,48.1381617,17.0751531,145.634,3.936
76450,48.1381575,17.0751332,145.638,3.929
76835,48.1381524,17.0751103,145.647,4.11
77220,48.1381485,17.0750911,145.692,3.779
77660,48.1381444,17.0750727,145.741,3.516
78045,48.1381403,17.0750532,145.749,3.897
78430,48.1381365,17.0750348,145.747,3.639
78815,48.1381324,17.0750162,145.685,3.747
79255,48.138129,17.0749979,145.691,3.574
79640,48.1381256,17.0749788,145.756,3.339
80025,48.1381215,17.0749634,145.847,3.224
80410,48.138117,17.0749455,145.914,3.285
80850,48.1381119,17.0749317,146.006,3.079
81235,48.1381065,17.0749169,146.067,3.227
81620,48.1380993,17.0749038,146.116,3.243
82060,48.1380893,17.0748912,146.083,3.314
82445,48.1380795,17.0748824,146.078,3.243
82830,48.1380687,17.0748758,146.12,3.433
83215,48.1380556,17.0748711,146.125,3.493
83655,48.1380437,17.0748676,146.112,3.601
84040,48.1380319,17.074865,146.116,3.452
84425,48.1380197,17.0748642,146.142,3.485
84810,48.1380058,17.0748629,146.12,3.711
85250,48.1379932,17.0748626,146.118,3.828
85635,48.1379804,17.0748618,146.048,3.818
86020,48.1379657,17.0748611,146.025,3.764
86405,48.1379527,17.0748604,146.003,3.825
86845,48.1379402,17.0748598,146.093,3.558
87230,48.1379255,17.074858,146.204,3.624
87615,48.1379123,17.0748572,146.264,3.411
88055,48.1379003,17.0748562,146.401,3.422
88440,48.1378882,17.0748546,146.493,3.365
88825,48.1378761,17.0748536,146.59,3.09
89210,48.1378649,17.0748533,146.797,3.268
89650,48.1378531,17.0748509,146.988,3.019
90035,48.137842,17.0748501,147.186,3.102
90420,48.1378302,17.0748495,147.362,3.195
90860,48.1378201,17.0748467,147.448,2.869
91245,48.1378094,17.0748452,147.572,3.072
91630,48.1378009,17.0748452,147.734,2.426
92015,48.1377905,17.0748439,147.859,2.553
92400,48.1377812,17.0748414,148.016,2.925
92840,48.1377712,17.0748398,148.121,2.906
93225,48.1377622,17.0748395,148.289,2.826
93665,48.1377525,17.074839,148.527,2.528
94050,48.137744,17.0748382,148.71,2.853
94435,48.1377362,17.0748371,148.813,2.145
94820,48.1377277,17.0748363,148.974,2.533
95260,48.1377184,17.0748361,149.048,2.245
95645,48.13771,17.0748352,149.177,2.522
96030,48.1377022,17.074835,149.21,2.054
96415,48.1376946,17.0748338,149.26,1.965
96855,48.1376889,17.0748309,149.272,1.68
97240,48.1376843,17.0748278,149.223,1.424
97625,48.1376805,17.0748236,149.333,1.459
98010,48.1376784,17.0748175,149.341,1.141
98450,48.1376788,17.0748114,149.291,0.97
98835,48.1376794,17.0748057,149.346,0.936
99220,48.137681,17.0747996,149.283,1.223
99605,48.1376848,17.0747939,149.195,1.433
100045,48.1376887,17.0747879,149.159,1.589
100430,48.1376933,17.0747833,149.182,1.642
100815,48.1377,17.0747798,149.061,2.049
101255,48.1377068,17.0747791,149.06,2.058
101640,48.1377167,17.0747796,149.067,2.602
102025,48.1377243,17.0747806,149.153,2.072
102410,48.1377304,17.0747789,149.181,2.303
102850,48.1377377,17.0747794,149.229,2.09
103235,48.1377447,17.074782,149.408,2.337
103620,48.1377547,17.0747844,149.48,2.341
104060,48.1377622,17.0747855,149.64,1.858
104445,48.1377703,17.0747864,149.784,2.233
104830,48.1377767,17.0747889,149.927,2.09
105270,48.1377872,17.0747905,150.001,2.603
105655,48.1377936,17.0747907,150.1,1.75
106040,48.1378015,17.0747905,150.202,2.41
106425,48.1378089,17.0747907,150.332,1.812
106810,48.1378177,17.0747925,150.595,2.52
107250,48.1378267,17.0747933,150.655,2.345
107635,48.137833,17.0747925,150.787,1.96
108020,48.1378415,17.0747919,150.844,2.378
108460,48.1378491,17.0747941,151.03,1.832
108845,48.1378569,17.0747951,151.184,2.25
109230,48.1378642,17.0747943,151.298,1.869
109615,48.1378716,17.0747925,151.434,1.909
110055,48.1378786,17.0747904,151.51,1.944
110440,48.1378847,17.0747869,151.538,1.866
110825,48.1378902,17.0747817,151.573,1.789
111265,48.1378959,17.0747751,151.666,1.721
111650,48.1379007,17.0747674,151.676,1.911
112035,48.1379055,17.074761,151.7,1.913
112420,48.137912,17.0747562,151.741,1.854
112860,48.137919,17.0747505,151.73,2.248
113245,48.1379269,17.0747462,151.69,2.479
113630,48.137936,17.0747438,151.708,2.69
114015,48.1379462,17.0747454,151.748,2.647
114455,48.1379561,17.0747477,151.791,2.881
114840,48.1379658,17.0747497,151.866,2.896
115225,48.1379768,17.07475,151.943,3.048
115665,48.1379887,17.0747547,151.957,3.11
116050,48.1379994,17.074757,152.012,3.116
116435,48.1380103,17.0747601,151.992,3.098
116820,48.1380223,17.0747623,152.119,3.055
117260,48.1380341,17.0747627,152.102,3.266
117645,48.1380455,17.0747641,152.095,3.231
118030,48.1380565,17.0747641,152.196,3.173
118415,48.1380691,17.074765,152.223,3.104
118855,48.13808,17.0747688,152.299,3.224
119240,48.1380914,17.0747709,152.291,3.191
119625,48.1381028,17.0747718,152.316,3.272
120065,48.1381159,17.0747745,152.343,3.309
120450,48.1381278,17.0747754,152.355,3.393
120835,48.1381394,17.0747751,152.354,3.27
121220,48.1381522,17.0747765,152.402,3.275
121660,48.1381637,17.0747756,152.512,3.268
122045,48.1381751,17.0747755,152.546,3.166
122430,48.1381859,17.0747765,152.673,3.21
122815,48.1381987,17.0747767,152.887,3.255
123255,48.1382097,17.0747775,153.039,3.138
123640,48.1382209,17.0747771,153.153,3.243
124025,48.1382318,17.0747799,153.239,3.193
124410,48.1382445,17.0747824,153.229,3.075
124850,48.1382557,17.0747831,153.293,3.208
125235,48.1382671,17.0747861,153.297,3.296
125620,48.1382798,17.0747881,153.348,3.137
126060,48.1382908,17.0747908,153.332,3.188
126445,48.1383026,17.0747938,153.254,3.271
126830,48.1383144,17.0747959,153.144,3.307
127215,48.1383267,17.0747965,153.308,3.152
127655,48.1383384,17.0747969,153.379,3.308
128040,48.1383496,17.0747946,153.648,3.345
128425,48.1383602,17.0747954,153.754,3.193
128865,48.1383734,17.0747951,153.834,3.336
129250,48.138385,17.074797,153.755,3.354
129635,48.1383953,17.0748015,153.732,3.093
130020,48.1384079,17.0748011,154.033,3.304
130460,48.1384194,17.0748017,154.102,3.234
130845,48.1384304,17.0747997,154.287,3.169
131230,48.1384417,17.0748014,154.372,3.344
131615,48.138455,17.0748043,154.337,3.373
132055,48.138466,17.0748056,154.487,3.29
132440,48.1384778,17.0748095,154.379,3.372
132825,48.1384891,17.0748121,154.566,3.397
133210,48.1385024,17.0748139,154.353,3.163
133650,48.1385142,17.0748169,154.525,3.489
134035,48.1385258,17.0748215,154.572,3.491
134420,48.1385391,17.0748238,154.571,3.374
134805,48.1385511,17.0748271,154.471,3.416
135245,48.1385638,17.0748311,154.356,3.547
135630,48.138576,17.0748337,154.235,3.436
136015,48.1385888,17.0748376,154.497,3.383
136455,48.138601,17.0748412,154.471,3.465
136840,48.1386127,17.074842,154.507,3.452
137225,48.1386245,17.0748468,154.26,3.388
137610,48.1386381,17.0748543,154.107,3.52
138050,48.1386504,17.0748589,153.947,3.532
138435,48.1386617,17.0748612,154.034,3.359
138820,48.1386759,17.0748638,154.105,3.588
139260,48.1386887,17.0748653,153.957,3.627
139645,48.1387012,17.0748694,153.787,3.571
140030,48.1387131,17.0748684,153.966,3.516
140470,48.1387265,17.074869,154.299,3.546
140855,48.1387386,17.0748703,154.413,3.592
141240,48.1387506,17.074873,154.356,3.462
141625,48.1387625,17.0748741,154.527,3.492
142065,48.1387761,17.0748792,154.51,3.477
142450,48.1387887,17.07488,154.535,3.57
142835,48.1388015,17.0748803,154.518,3.654
143220,48.1388154,17.0748842,154.55,3.549
143605,48.1388278,17.0748864,154.575,3.489
144045,48.1388398,17.0748913,154.652,3.621
144430,48.138852,17.0748941,154.652,3.468
