Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1483806,17.1611603,141.039,0.249,0.21,1650121735259000,487,3
3135,48.1483807,17.1611604,141.063,0.224,0.25,1650121738394000,488,3
3190,48.1483808,17.1611603,141.073,0.167,0.22,1650121738449000,488,3
3245,48.1483809,17.1611602,141.088,0.162,0.17,1650121738504000,488,3
3355,48.148381,17.1611599,141.094,0.171,0.16,1650121738614000,488,3
3410,48.1483809,17.1611598,141.084,0.088,0.17,1650121738669000,488,3
3465,48.148381,17.1611599,141.067,0.07,0.09,1650121738724000,488,3
3520,48.1483811,17.1611598,141.06,0.07,0.07,1650121738779000,488,3
3575,48.1483813,17.1611599,141.04,0.06,0.06,1650121738834000,488,3
3685,48.1483814,17.1611597,141.03,0.048,0.06,1650121738944000,488,3
3741,48.1483814,17.1611597,141.014,0.008,0.05,1650121739000000,488,3
3795,48.1483814,17.1611595,141,0.035,0.02,1650121739054000,488,3
3850,48.1483815,17.1611595,140.987,0.021,0.04,1650121739109000,488,3
3960,48.1483817,17.1611595,140.949,0.021,0.05,1650121739219000,488,3
4015,48.1483819,17.1611595,140.924,0.018,0.03,1650121739274000,488,3
4070,48.1483821,17.1611595,140.898,0.048,0.03,1650121739329000,488,3
4125,48.148382,17.1611594,140.866,0.013,0.06,1650121739384000,488,3
4180,48.1483821,17.1611592,140.834,0.045,0.04,1650121739439000,488,3
4290,48.1483823,17.1611592,140.765,0.054,0.1,1650121739549000,488,3
4345,48.1483825,17.1611591,140.747,0.057,0.07,1650121739604000,488,3
4400,48.1483826,17.1611591,140.726,0.016,0.07,1650121739659000,488,3
4455,48.1483826,17.1611591,140.706,0.026,0.05,1650121739714000,488,3
4510,48.1483827,17.161159,140.686,0.034,0.05,1650121739769000,488,3
4620,48.148383,17.1611589,140.618,0.038,0.05,1650121739879000,488,3
4675,48.1483831,17.161159,140.577,0.029,0.06,1650121739934000,488,3
4730,48.1483834,17.1611592,140.557,0.095,0.06,1650121739989000,488,3
4785,48.1483839,17.1611592,140.538,0.178,0.11,1650121740044000,488,3
4895,48.1483837,17.1611588,140.504,0.009,0.16,1650121740154000,488,3
4950,48.148384,17.1611589,140.499,0.05,0.05,1650121740209000,488,3
5005,48.1483846,17.1611589,140.47,0.062,0.06,1650121740264000,488,3
5060,48.148385,17.161159,140.428,0.062,0.07,1650121740319000,488,3
5115,48.148385,17.1611588,140.432,0.097,0.08,1650121740374000,488,3
5170,48.148385,17.1611579,140.446,0.153,0.17,1650121740429000,488,3
5280,48.1483852,17.1611577,140.429,0.104,0.16,1650121740539000,488,3
5335,48.1483857,17.1611576,140.329,0.086,0.11,1650121740594000,488,3
5390,48.1483858,17.1611576,140.282,0.081,0.11,1650121740649000,488,3
5445,48.1483855,17.1611571,140.299,0.207,0.11,1650121740704000,488,3
5555,48.1483855,17.1611568,140.335,0.16,0.21,1650121740814000,488,3
5610,48.1483856,17.1611567,140.308,0.183,0.16,1650121740869000,488,3
5665,48.1483857,17.1611564,140.279,0.236,0.19,1650121740924000,488,3
5720,48.1483861,17.1611561,140.21,0.317,0.24,1650121740979000,488,3
5775,48.1483861,17.1611556,140.198,0.42,0.32,1650121741034000,488,3
5885,48.1483858,17.1611542,140.16,0.67,0.57,1650121741144000,488,3
5940,48.1483861,17.1611537,140.091,0.679,0.67,1650121741199000,488,3
5995,48.1483863,17.1611532,140.087,0.693,0.68,1650121741254000,488,3
6050,48.1483863,17.1611522,140.068,0.841,0.7,1650121741309000,488,3
6160,48.1483865,17.1611506,139.959,0.911,0.9,1650121741419000,488,3
6215,48.148387,17.1611493,139.962,1.049,0.91,1650121741474000,488,3
6270,48.1483877,17.1611481,139.912,1.126,1.05,1650121741529000,488,3
6325,48.1483889,17.1611478,139.78,0.968,1.13,1650121741584000,488,3
6380,48.1483896,17.1611472,139.677,0.893,0.97,1650121741639000,488,3
6490,48.1483903,17.1611455,139.564,0.964,0.92,1650121741749000,488,3
6545,48.1483911,17.1611453,139.481,0.813,0.97,1650121741804000,488,3
6600,48.1483918,17.161145,139.328,0.729,0.82,1650121741859000,488,3
6655,48.1483927,17.1611447,139.069,0.659,0.75,1650121741914000,488,3
6710,48.1483933,17.1611433,138.947,0.929,0.69,1650121741969000,488,3
6820,48.1483948,17.1611411,138.695,1.103,1.17,1650121742079000,488,3
6875,48.148395,17.1611405,138.675,0.957,1.13,1650121742134000,488,3
6930,48.1483952,17.16114,138.617,0.874,0.99,1650121742189000,488,3
6985,48.1483948,17.1611391,138.653,0.886,0.91,1650121742244000,488,3
7095,48.1483935,17.1611366,138.694,1.161,1.17,1650121742354000,488,3
7150,48.1483938,17.1611362,138.627,1.024,1.18,1650121742409000,488,3
7205,48.1483941,17.161135,138.576,1.147,1.05,1650121742464000,488,3
7260,48.1483942,17.1611334,138.56,1.308,1.17,1650121742519000,488,3
7315,48.1483938,17.1611316,138.589,1.474,1.33,1650121742574000,488,3
7425,48.1483948,17.1611292,138.434,1.373,1.46,1650121742684000,488,3
7480,48.1483951,17.1611278,138.429,1.393,1.39,1650121742739000,488,3
7535,48.1483952,17.1611266,138.419,1.349,1.41,1650121742794000,488,3
7590,48.1483953,17.1611254,138.362,1.328,1.36,1650121742849000,488,3
