Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1299329,17.1571854,140.66,4.315,4.28,1650122380959000,124,3
55,48.1299307,17.1571859,140.645,4.402,4.31,1650122381014000,124,3
110,48.1299286,17.1571864,140.645,4.387,4.4,1650122381069000,124,3
165,48.1299244,17.1571878,140.649,4.339,4.33,1650122381124000,124,3
275,48.1299222,17.1571883,140.662,4.427,4.34,1650122381234000,124,3
330,48.1299201,17.1571888,140.648,4.335,4.43,1650122381289000,124,3
385,48.129918,17.1571895,140.644,4.367,4.34,1650122381344000,124,3
440,48.1299137,17.157191,140.66,4.376,4.4,1650122381399000,124,3
550,48.1299115,17.1571918,140.652,4.417,4.38,1650122381509000,124,3
605,48.1299094,17.1571926,140.662,4.449,4.42,1650122381564000,124,3
660,48.1299073,17.1571932,140.685,4.374,4.45,1650122381619000,124,3
770,48.1299051,17.1571941,140.696,4.41,4.37,1650122381729000,124,3
825,48.1299008,17.1571959,140.701,4.462,4.41,1650122381784000,124,3
880,48.1298987,17.1571969,140.721,4.395,4.46,1650122381839000,124,3
935,48.1298966,17.1571979,140.735,4.414,4.39,1650122381894000,124,3
990,48.1298945,17.1571988,140.734,4.426,4.41,1650122381949000,124,3
1045,48.1298903,17.1572009,140.731,4.382,4.44,1650122382004000,124,3
1100,48.1298881,17.1572019,140.731,4.466,4.38,1650122382059000,124,3
1100,48.129886,17.1572031,140.728,4.467,4.47,1650122382059000,124,3
1265,48.1298839,17.1572042,140.729,4.44,4.47,1650122382224000,124,3
1320,48.1298797,17.1572065,140.743,4.457,4.47,1650122382279000,124,3
1375,48.1298775,17.1572077,140.735,4.493,4.46,1650122382334000,124,3
1485,48.1298755,17.1572089,140.738,4.456,4.49,1650122382444000,124,3
1540,48.1298713,17.1572114,140.753,4.513,4.43,1650122382499000,124,3
1595,48.1298692,17.1572126,140.76,4.519,4.51,1650122382554000,124,3
1650,48.1298672,17.1572138,140.773,4.444,4.52,1650122382609000,124,3
1760,48.129863,17.1572165,140.76,4.549,4.48,1650122382719000,124,3
1815,48.1298609,17.1572178,140.761,4.521,4.55,1650122382774000,124,3
1870,48.1298588,17.157219,140.772,4.517,4.52,1650122382829000,124,3
1925,48.1298568,17.1572203,140.773,4.478,4.52,1650122382884000,124,3
