Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1459753,17.159781,136.529,4.249,4.25,1650124959579000,133,3
55,48.1459769,17.1597792,136.506,4.195,4.25,1650124959634000,133,3
110,48.1459785,17.1597774,136.478,4.174,4.2,1650124959689000,133,3
220,48.1459801,17.1597755,136.466,4.167,4.17,1650124959799000,133,3
275,48.1459818,17.1597736,136.455,4.198,4.17,1650124959854000,133,3
330,48.1459835,17.1597718,136.425,4.213,4.2,1650124959909000,133,3
385,48.1459851,17.1597699,136.419,4.184,4.21,1650124959964000,133,3
440,48.1459867,17.1597681,136.42,4.144,4.18,1650124960019000,133,3
495,48.1459884,17.1597662,136.42,4.156,4.14,1650124960074000,133,3
605,48.1459901,17.1597644,136.406,4.194,4.16,1650124960184000,133,3
660,48.1459917,17.1597625,136.405,4.193,4.19,1650124960239000,133,3
715,48.1459966,17.1597569,136.406,4.193,4.2,1650124960294000,133,3
770,48.1459999,17.1597531,136.4,4.19,4.19,1650124960349000,133,3
880,48.1460016,17.1597513,136.39,4.177,4.19,1650124960459000,133,3
935,48.1460032,17.1597495,136.376,4.135,4.18,1650124960514000,133,3
990,48.1460066,17.1597458,136.387,4.196,4.19,1650124960569000,133,3
1045,48.1460082,17.1597439,136.398,4.185,4.2,1650124960624000,133,3
1155,48.1460098,17.1597422,136.387,4.075,4.18,1650124960734000,133,3
1210,48.1460115,17.1597403,136.389,4.193,4.07,1650124960789000,133,3
1265,48.1460132,17.1597384,136.405,4.249,4.19,1650124960844000,133,3
1320,48.1460149,17.1597365,136.412,4.276,4.25,1650124960899000,133,3
1430,48.1460165,17.1597348,136.393,4.136,4.28,1650124961009000,133,3
1485,48.1460198,17.1597309,136.368,4.229,4.16,1650124961064000,133,3
1540,48.1460215,17.1597292,136.372,4.19,4.23,1650124961119000,133,3
1595,48.1460232,17.1597273,136.348,4.217,4.19,1650124961174000,133,3
1650,48.1460248,17.1597254,136.371,4.217,4.22,1650124961229000,133,3
1705,48.1460266,17.1597235,136.362,4.271,4.22,1650124961284000,133,3
1815,48.1460283,17.1597217,136.354,4.243,4.27,1650124961394000,133,3
1870,48.1460315,17.159718,136.336,4.161,4.16,1650124961449000,133,3
1925,48.1460332,17.159716,136.33,4.253,4.16,1650124961504000,133,3
1980,48.1460349,17.1597141,136.335,4.299,4.25,1650124961559000,133,3
2090,48.1460366,17.1597123,136.35,4.264,4.3,1650124961669000,133,3
2145,48.1460382,17.1597104,136.364,4.215,4.26,1650124961724000,133,3
2200,48.1460399,17.1597084,136.357,4.26,4.22,1650124961779000,133,3
2255,48.1460416,17.1597065,136.345,4.274,4.26,1650124961834000,133,3
2310,48.1460433,17.1597047,136.369,4.222,4.27,1650124961889000,133,3
2421,48.1460467,17.1597009,136.319,4.251,4.29,1650124962000000,133,3
2475,48.1460484,17.1596992,136.321,4.192,4.25,1650124962054000,133,3
2530,48.1460501,17.1596974,136.335,4.202,4.19,1650124962109000,133,3
2585,48.1460519,17.1596955,136.328,4.257,4.2,1650124962164000,133,3
2695,48.1460552,17.1596915,136.336,4.312,4.27,1650124962274000,133,3
2750,48.1460586,17.1596876,136.335,4.282,4.31,1650124962329000,133,3
2805,48.1460603,17.1596857,136.337,4.31,4.28,1650124962384000,133,3
2860,48.146062,17.1596839,136.337,4.287,4.31,1650124962439000,133,3
2915,48.1460637,17.159682,136.334,4.234,4.29,1650124962494000,133,3
3025,48.1460655,17.1596804,136.326,4.208,4.23,1650124962604000,133,3
3080,48.1460687,17.1596764,136.363,4.179,4.25,1650124962659000,133,3
3135,48.1460703,17.1596743,136.368,4.234,4.18,1650124962714000,133,3
3190,48.1460718,17.1596723,136.397,4.154,4.23,1650124962769000,133,3
3245,48.1460735,17.1596705,136.39,4.135,4.15,1650124962824000,133,3
3355,48.146077,17.1596665,136.372,4.302,4.31,1650124962934000,133,3
3410,48.1460786,17.1596647,136.402,4.205,4.3,1650124962989000,133,3
3465,48.1460802,17.1596629,136.396,4.159,4.21,1650124963044000,133,3
3520,48.1460819,17.159661,136.394,4.148,4.16,1650124963099000,133,3
3630,48.1460835,17.159659,136.373,4.212,4.15,1650124963209000,133,3
3685,48.1460868,17.1596552,136.389,4.174,4.24,1650124963264000,133,3
3740,48.1460885,17.1596533,136.391,4.183,4.17,1650124963319000,133,3
3795,48.1460902,17.1596516,136.381,4.157,4.18,1650124963374000,133,3
3850,48.1460918,17.1596497,136.402,4.111,4.16,1650124963429000,133,3
3905,48.1460949,17.1596458,136.423,4.14,4.13,1650124963484000,133,3
4015,48.1460966,17.1596441,136.409,4.114,4.14,1650124963594000,133,3
4070,48.1460983,17.1596424,136.395,4.128,4.11,1650124963649000,133,3
4125,48.1460999,17.1596406,136.399,4.032,4.13,1650124963704000,133,3
4235,48.1461015,17.159639,136.415,4.036,4.03,1650124963814000,133,3
4290,48.1461048,17.1596356,136.417,4,4,1650124963869000,133,3
4345,48.1461064,17.159634,136.404,3.971,4,1650124963924000,133,3
4400,48.1461081,17.1596323,136.403,4.026,3.97,1650124963979000,133,3
4455,48.1461098,17.1596307,136.385,4.018,4.03,1650124964034000,133,3
4510,48.146113,17.1596274,136.366,3.962,3.98,1650124964089000,133,3
4620,48.1461147,17.1596257,136.332,4.011,3.96,1650124964199000,133,3
4675,48.1461162,17.159624,136.337,3.939,4.01,1650124964254000,133,3
4730,48.1461178,17.1596225,136.337,3.86,3.94,1650124964309000,133,3
4785,48.1461195,17.159621,136.308,3.949,3.86,1650124964364000,133,3
4895,48.1461227,17.1596181,136.301,3.818,3.93,1650124964474000,133,3
4950,48.1461243,17.1596164,136.315,3.866,3.82,1650124964529000,133,3
5005,48.1461259,17.1596148,136.317,3.889,3.87,1650124964584000,133,3
5060,48.1461276,17.1596132,136.296,3.919,3.89,1650124964639000,133,3
5115,48.1461293,17.159612,136.272,3.908,3.92,1650124964694000,133,3
5225,48.1461331,17.15961,136.243,3.928,3.93,1650124964804000,133,3
5280,48.1461349,17.1596091,136.198,3.888,3.93,1650124964859000,133,3
5335,48.1461368,17.1596082,136.144,3.894,3.89,1650124964914000,133,3
5390,48.1461387,17.1596071,136.141,3.983,3.9,1650124964969000,133,3
5445,48.1461406,17.1596061,136.134,4.031,3.99,1650124965024000,133,3
5500,48.1461442,17.1596039,136.142,3.952,3.98,1650124965079000,133,3
5610,48.1461459,17.1596026,136.193,3.947,3.96,1650124965189000,133,3
5665,48.1461476,17.1596016,136.182,3.847,3.95,1650124965244000,133,3
5720,48.1461494,17.1596004,136.184,3.874,3.85,1650124965299000,133,3
5830,48.1461531,17.1595987,136.189,3.881,3.9,1650124965409000,133,3
