Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1537011,17.2237033,131.7,4.465,4.42,1650196406594000,161,3
55,48.1537013,17.2237067,131.672,4.539,4.47,1650196406649000,161,3
110,48.1537015,17.2237099,131.668,4.48,4.54,1650196406704000,161,3
165,48.1537019,17.2237131,131.655,4.434,4.48,1650196406759000,161,3
220,48.1537031,17.2237199,131.667,4.6,4.5,1650196406814000,161,3
330,48.1537035,17.2237233,131.684,4.575,4.6,1650196406924000,161,3
385,48.1537039,17.2237264,131.65,4.49,4.58,1650196406979000,161,3
440,48.1537045,17.2237294,131.622,4.439,4.49,1650196407034000,161,3
495,48.153705,17.2237331,131.689,4.594,4.44,1650196407089000,161,3
605,48.1537061,17.2237398,131.7,4.557,4.66,1650196407199000,161,3
660,48.1537064,17.223743,131.668,4.54,4.56,1650196407254000,161,3
715,48.1537068,17.2237465,131.671,4.607,4.54,1650196407309000,161,3
770,48.1537076,17.2237498,131.654,4.628,4.61,1650196407364000,161,3
825,48.1537086,17.2237567,131.629,4.723,4.65,1650196407419000,161,3
880,48.1537092,17.2237602,131.639,4.747,4.72,1650196407474000,161,3
990,48.1537096,17.2237635,131.596,4.743,4.75,1650196407584000,161,3
1045,48.1537101,17.2237668,131.564,4.697,4.74,1650196407639000,161,3
1100,48.1537106,17.2237702,131.529,4.742,4.7,1650196407694000,161,3
1155,48.1537117,17.2237772,131.58,4.72,4.67,1650196407749000,161,3
1265,48.1537123,17.2237805,131.611,4.645,4.72,1650196407859000,161,3
1320,48.1537128,17.2237842,131.589,4.836,4.65,1650196407914000,161,3
1375,48.1537135,17.2237875,131.591,4.743,4.84,1650196407969000,161,3
1430,48.153714,17.2237909,131.591,4.721,4.74,1650196408024000,161,3
1485,48.1537148,17.2237979,131.601,4.745,4.7,1650196408079000,161,3
1595,48.1537154,17.2238013,131.604,4.725,4.75,1650196408189000,161,3
1650,48.1537159,17.2238048,131.572,4.772,4.73,1650196408244000,161,3
1705,48.1537164,17.2238083,131.565,4.785,4.77,1650196408299000,161,3
1760,48.1537169,17.2238119,131.599,4.831,4.79,1650196408354000,161,3
1815,48.1537178,17.2238186,131.558,4.715,4.81,1650196408409000,161,3
1925,48.1537182,17.2238222,131.559,4.744,4.72,1650196408519000,161,3
1980,48.1537186,17.2238257,131.544,4.758,4.74,1650196408574000,161,3
2035,48.1537191,17.2238289,131.516,4.699,4.76,1650196408629000,161,3
2090,48.1537197,17.2238358,131.486,4.698,4.73,1650196408684000,161,3
2200,48.1537201,17.2238392,131.474,4.676,4.7,1650196408794000,161,3
2255,48.1537206,17.2238428,131.483,4.749,4.68,1650196408849000,161,3
2310,48.153721,17.2238464,131.479,4.771,4.75,1650196408904000,161,3
2365,48.1537214,17.22385,131.469,4.809,4.77,1650196408959000,161,3
2420,48.1537219,17.2238534,131.472,4.761,4.81,1650196409014000,161,3
2530,48.1537228,17.2238606,131.482,4.798,4.81,1650196409124000,161,3
2585,48.1537232,17.2238641,131.471,4.808,4.8,1650196409179000,161,3
2640,48.1537238,17.2238676,131.472,4.787,4.81,1650196409234000,161,3
2695,48.153724,17.2238712,131.467,4.795,4.79,1650196409289000,161,3
2805,48.1537246,17.2238783,131.485,4.771,4.73,1650196409399000,161,3
2860,48.1537251,17.2238818,131.506,4.727,4.77,1650196409454000,161,3
2915,48.1537256,17.2238854,131.504,4.754,4.73,1650196409509000,161,3
2970,48.153726,17.2238889,131.461,4.822,4.75,1650196409564000,161,3
3025,48.1537263,17.2238925,131.457,4.823,4.82,1650196409619000,161,3
3135,48.1537271,17.2238996,131.446,4.827,4.87,1650196409729000,161,3
3190,48.1537275,17.2239034,131.444,4.923,4.83,1650196409784000,161,3
3245,48.1537278,17.223907,131.467,4.861,4.92,1650196409839000,161,3
3300,48.1537283,17.2239106,131.472,4.837,4.86,1650196409894000,161,3
3410,48.1537287,17.2239142,131.455,4.83,4.84,1650196410004000,161,3
3465,48.1537292,17.2239212,131.445,4.763,4.84,1650196410059000,161,3
3520,48.1537296,17.2239248,131.449,4.749,4.76,1650196410114000,161,3
3575,48.1537301,17.2239284,131.443,4.782,4.75,1650196410169000,161,3
3630,48.1537304,17.223932,131.422,4.863,4.78,1650196410224000,161,3
3685,48.1537312,17.2239392,131.441,4.863,4.83,1650196410279000,161,3
3795,48.1537315,17.2239427,131.405,4.851,4.86,1650196410389000,161,3
3850,48.1537318,17.2239461,131.403,4.744,4.85,1650196410444000,161,3
3905,48.1537321,17.2239498,131.433,4.777,4.74,1650196410499000,161,3
3960,48.1537324,17.2239533,131.456,4.728,4.78,1650196410554000,161,3
4070,48.153733,17.2239602,131.424,4.753,4.75,1650196410664000,161,3
4125,48.1537333,17.2239637,131.432,4.734,4.75,1650196410719000,161,3
4180,48.1537337,17.2239674,131.454,4.762,4.73,1650196410774000,161,3
4235,48.153734,17.2239708,131.46,4.714,4.76,1650196410829000,161,3
4290,48.1537343,17.2239744,131.446,4.792,4.71,1650196410884000,161,3
4400,48.1537351,17.2239816,131.464,4.791,4.8,1650196410994000,161,3
4455,48.1537355,17.2239853,131.46,4.874,4.79,1650196411049000,161,3
4510,48.1537356,17.2239889,131.454,4.865,4.87,1650196411104000,161,3
4565,48.1537357,17.2239924,131.461,4.803,4.87,1650196411159000,161,3
4675,48.1537366,17.2239993,131.444,4.705,4.8,1650196411269000,161,3
4730,48.1537369,17.224003,131.474,4.78,4.7,1650196411324000,161,3
4785,48.1537372,17.2240067,131.482,4.814,4.78,1650196411379000,161,3
4840,48.1537375,17.2240103,131.487,4.825,4.81,1650196411434000,161,3
4895,48.1537377,17.2240137,131.461,4.699,4.82,1650196411489000,161,3
5005,48.1537382,17.2240209,131.456,4.828,4.78,1650196411599000,161,3
5060,48.1537385,17.2240245,131.466,4.791,4.83,1650196411654000,161,3
5115,48.1537388,17.224028,131.449,4.772,4.79,1650196411709000,161,3
5170,48.1537391,17.2240314,131.43,4.714,4.77,1650196411764000,161,3
5280,48.1537395,17.2240385,131.43,4.694,4.78,1650196411874000,161,3
5335,48.1537395,17.224042,131.421,4.707,4.69,1650196411929000,161,3
5390,48.1537397,17.2240454,131.41,4.683,4.71,1650196411984000,161,3
5445,48.1537398,17.2240492,131.417,4.835,4.68,1650196412039000,161,3
5500,48.1537402,17.2240529,131.409,4.898,4.84,1650196412094000,161,3
5555,48.1537405,17.2240599,131.433,4.716,4.85,1650196412149000,161,3
5665,48.1537406,17.2240632,131.424,4.671,4.72,1650196412259000,161,3
5720,48.1537405,17.2240667,131.416,4.673,4.67,1650196412314000,161,3
5775,48.1537408,17.2240703,131.403,4.784,4.67,1650196412369000,161,3
5830,48.153741,17.2240735,131.378,4.584,4.78,1650196412424000,161,3
5940,48.1537416,17.2240807,131.378,4.791,4.75,1650196412534000,161,3
5995,48.1537417,17.2240844,131.363,4.887,4.79,1650196412589000,161,3
6050,48.1537419,17.2240879,131.352,4.798,4.89,1650196412644000,161,3
6105,48.1537421,17.2240914,131.374,4.778,4.8,1650196412699000,161,3
6160,48.1537422,17.2240949,131.382,4.758,4.78,1650196412754000,161,3
6270,48.1537427,17.2241022,131.381,4.856,4.82,1650196412864000,161,3
6325,48.1537429,17.2241057,131.4,4.792,4.86,1650196412919000,161,3
6380,48.1537431,17.2241094,131.371,4.918,4.79,1650196412974000,161,3
6435,48.1537433,17.2241128,131.371,4.802,4.92,1650196413029000,161,3
6490,48.1537438,17.2241199,131.369,4.813,4.77,1650196413084000,161,3
6600,48.153744,17.2241236,131.367,4.841,4.81,1650196413194000,161,3
6655,48.1537442,17.2241274,131.377,4.941,4.84,1650196413249000,161,3
6710,48.1537446,17.2241309,131.359,4.885,4.94,1650196413304000,161,3
6765,48.1537449,17.2241343,131.372,4.787,4.89,1650196413359000,161,3
6875,48.1537451,17.2241415,131.374,4.821,4.82,1650196413469000,161,3
6930,48.1537452,17.2241451,131.391,4.811,4.82,1650196413524000,161,3
6985,48.1537455,17.2241488,131.425,4.827,4.81,1650196413579000,161,3
7040,48.1537457,17.2241523,131.411,4.825,4.83,1650196413634000,161,3
7095,48.1537461,17.2241594,131.42,4.787,4.8,1650196413689000,161,3
7205,48.1537462,17.2241629,131.409,4.794,4.79,1650196413799000,161,3
7260,48.1537464,17.2241665,131.398,4.815,4.79,1650196413854000,161,3
7315,48.1537466,17.2241701,131.425,4.774,4.81,1650196413909000,161,3
7370,48.1537466,17.2241736,131.434,4.731,4.77,1650196413964000,161,3
7425,48.1537469,17.2241808,131.415,4.847,4.74,1650196414019000,161,3
7535,48.1537471,17.2241844,131.412,4.873,4.85,1650196414129000,161,3
7590,48.1537475,17.2241881,131.436,4.876,4.87,1650196414184000,161,3
7645,48.1537476,17.2241915,131.415,4.798,4.88,1650196414239000,161,3
7700,48.153748,17.2241951,131.421,4.835,4.8,1650196414294000,161,3
7810,48.1537487,17.2242023,131.441,4.872,4.79,1650196414404000,161,3
7865,48.1537488,17.2242059,131.444,4.886,4.87,1650196414459000,161,3
7920,48.153749,17.2242094,131.435,4.849,4.89,1650196414514000,161,3
7975,48.1537495,17.2242128,131.434,4.75,4.85,1650196414569000,161,3
8030,48.1537505,17.2242198,131.418,4.804,4.86,1650196414624000,161,3
8140,48.1537511,17.2242232,131.4,4.779,4.8,1650196414734000,161,3
8195,48.1537515,17.2242268,131.42,4.812,4.78,1650196414789000,161,3
8250,48.1537519,17.2242304,131.42,4.863,4.81,1650196414844000,161,3
8305,48.1537524,17.2242339,131.42,4.859,4.86,1650196414899000,161,3
8360,48.1537532,17.2242414,131.444,4.945,5.02,1650196414954000,161,3
8470,48.1537535,17.2242449,131.444,4.86,4.95,1650196415064000,161,3
8525,48.1537539,17.2242484,131.45,4.847,4.86,1650196415119000,161,3
