Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1597486,17.2524908,129.962,4.475
110,48.1597465,17.2524902,129.977,4.442
165,48.159742,17.252489,129.972,4.526
220,48.1597398,17.2524884,129.964,4.467
275,48.1597377,17.2524879,129.936,4.4
330,48.1597355,17.2524871,129.928,4.477
385,48.1597333,17.2524865,129.936,4.493
495,48.1597288,17.2524852,129.944,4.507
550,48.1597266,17.2524847,129.913,4.449
605,48.1597245,17.252484,129.893,4.465
660,48.1597222,17.2524831,129.885,4.493
715,48.15972,17.2524824,129.866,4.551
825,48.1597156,17.2524806,129.913,4.534
880,48.1597134,17.2524798,129.921,4.565
935,48.1597113,17.2524789,129.893,4.517
990,48.159709,17.2524781,129.886,4.602
1045,48.1597046,17.2524765,129.879,4.584
1155,48.1597025,17.2524758,129.858,4.506
1210,48.1597003,17.2524753,129.852,4.494
1265,48.1596958,17.2524738,129.843,4.599
1320,48.1596935,17.2524731,129.857,4.629
1430,48.1596914,17.2524725,129.84,4.521
1485,48.1596893,17.2524717,129.839,4.495
1540,48.1596869,17.2524711,129.828,4.594
1595,48.1596825,17.2524701,129.811,4.559
1650,48.1596803,17.2524696,129.805,4.556
1705,48.1596781,17.2524689,129.798,4.545
1815,48.1596759,17.2524681,129.775,4.522
1870,48.1596737,17.2524675,129.759,4.554
1925,48.1596694,17.2524662,129.72,4.502
2035,48.1596673,17.2524655,129.701,4.424
2090,48.159665,17.2524646,129.66,4.524
2145,48.1596629,17.2524639,129.641,4.463
2200,48.159661,17.252463,129.661,4.291
2255,48.1596567,17.2524616,129.614,4.405
2365,48.1596545,17.2524608,129.59,4.421
2420,48.1596522,17.2524601,129.541,4.499
2475,48.15965,17.2524595,129.508,4.523
2530,48.1596481,17.252459,129.478,4.332
2585,48.1596439,17.2524572,129.446,4.336
2640,48.1596415,17.2524562,129.408,4.603
2750,48.1596394,17.2524554,129.402,4.529
2805,48.1596373,17.2524548,129.416,4.384
2860,48.1596352,17.2524541,129.437,4.341
2915,48.1596331,17.2524532,129.417,4.386
3025,48.1596286,17.2524515,129.328,4.533
3080,48.1596265,17.2524507,129.34,4.423
3135,48.1596243,17.25245,129.352,4.444
3190,48.1596222,17.252449,129.358,4.425
3245,48.15962,17.2524481,129.335,4.487
3355,48.1596178,17.2524474,129.299,4.481
3410,48.1596134,17.2524453,129.276,4.54
3465,48.1596113,17.2524442,129.321,4.428
3520,48.1596092,17.2524435,129.321,4.384
3630,48.1596069,17.2524426,129.315,4.465
3685,48.1596046,17.2524416,129.308,4.528
3740,48.1596003,17.2524395,129.319,4.48
3795,48.1595981,17.2524386,129.338,4.464
3850,48.1595958,17.2524378,129.309,4.492
3960,48.1595915,17.2524359,129.306,4.523
4015,48.1595893,17.252435,129.314,4.486
4070,48.1595873,17.2524341,129.328,4.409
4125,48.1595852,17.2524332,129.321,4.402
4180,48.1595829,17.252432,129.272,4.535
4290,48.1595787,17.2524299,129.304,4.464
4345,48.1595766,17.2524292,129.339,4.384
4400,48.1595744,17.2524283,129.348,4.41
4455,48.1595723,17.2524275,129.329,4.404
4565,48.1595682,17.2524257,129.267,4.394
4620,48.1595663,17.252425,129.224,4.213
4675,48.1595643,17.252424,129.205,4.228
4730,48.1595623,17.2524231,129.188,4.245
4785,48.1595602,17.2524221,129.169,4.346
4895,48.159556,17.2524201,129.225,4.366
4950,48.1595538,17.2524189,129.228,4.451
5005,48.1595518,17.2524179,129.184,4.431
5060,48.1595497,17.2524171,129.157,4.405
5170,48.1595477,17.2524162,129.182,4.315
5225,48.1595437,17.2524142,129.167,4.257
5280,48.1595416,17.2524135,129.098,4.336
5335,48.1595394,17.2524127,129.034,4.445
5390,48.1595375,17.2524118,129.054,4.283
5445,48.1595356,17.2524108,129.095,4.142
5555,48.1595312,17.2524089,129.019,4.423
5610,48.1595292,17.252408,129.012,4.367
5665,48.1595271,17.2524071,129.021,4.384
5720,48.1595251,17.252406,128.997,4.35
5775,48.159521,17.2524037,128.98,4.35
5885,48.159519,17.2524028,128.957,4.357
5940,48.1595169,17.2524018,128.993,4.359
5995,48.1595149,17.2524007,128.994,4.353
6105,48.1595129,17.2523996,128.998,4.276
6160,48.1595088,17.2523975,128.951,4.377
6215,48.1595067,17.2523964,128.962,4.388
6270,48.1595047,17.2523954,128.96,4.323
6325,48.1595026,17.2523944,128.959,4.334
6435,48.1594985,17.2523924,128.936,4.361
6490,48.1594966,17.2523915,128.915,4.256
6545,48.1594945,17.2523904,128.885,4.32
6600,48.1594924,17.2523892,128.894,4.353
6655,48.1594904,17.252388,128.89,4.369
6710,48.1594863,17.2523857,128.866,4.373
6820,48.1594841,17.2523846,128.85,4.44
6875,48.159482,17.2523833,128.856,4.455
6930,48.15948,17.2523822,128.851,4.422
6985,48.1594762,17.2523802,128.774,4.235
7095,48.159474,17.2523791,128.763,4.379
7150,48.159472,17.2523778,128.762,4.394
7205,48.1594701,17.2523765,128.765,4.338
7260,48.1594679,17.2523753,128.802,4.405
7370,48.1594635,17.2523727,128.773,4.584
7425,48.1594615,17.2523715,128.738,4.554
7480,48.1594595,17.2523705,128.752,4.4
7535,48.1594576,17.2523695,128.768,4.299
7590,48.1594556,17.2523684,128.769,4.303
7700,48.1594511,17.2523664,128.712,4.565
7755,48.1594491,17.2523654,128.729,4.453
7810,48.159447,17.2523643,128.752,4.384
7865,48.159445,17.2523634,128.757,4.375
