Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.144943,17.1360968,133.288,5.224
330,48.1449447,17.1360732,133.267,5.223
715,48.1449468,17.1360494,133.331,5.272
990,48.1449491,17.136022,133.3,5.202
1320,48.144951,17.1359981,133.313,5.271
1705,48.1449526,17.1359742,133.283,5.304
2035,48.1449548,17.1359506,133.297,5.232
2365,48.1449571,17.1359271,133.382,5.197
2695,48.144959,17.1359036,133.409,5.333
3025,48.1449614,17.1358806,133.431,5.177
3355,48.1449636,17.1358571,133.467,5.272
3685,48.1449656,17.1358339,133.557,5.197
4015,48.1449673,17.1358103,133.629,5.261
4345,48.1449691,17.1357873,133.64,5.192
4675,48.1449712,17.1357641,133.639,5.252
5005,48.1449731,17.135741,133.609,5.098
5335,48.1449755,17.1357182,133.558,5.13
5665,48.1449782,17.1356914,133.6,5.162
6050,48.14498,17.1356684,133.631,5.135
6380,48.1449822,17.135646,133.645,5.098
6710,48.1449847,17.1356227,133.66,5.268
7040,48.1449868,17.135599,133.696,5.288
7370,48.1449889,17.1355755,133.762,5.198
7700,48.1449916,17.1355525,133.772,5.135
8030,48.1449957,17.1355306,133.548,5.054
8360,48.1449983,17.1355076,133.462,5.272
8690,48.1450009,17.1354845,133.393,5.193
9020,48.1450033,17.1354614,133.42,5.087
9350,48.1450053,17.1354382,133.535,5.274
9680,48.1450075,17.1354151,133.584,5.154
10010,48.1450093,17.1353915,133.616,5.299
10395,48.1450111,17.135368,133.683,5.274
10670,48.1450136,17.1353412,133.672,5.17
11000,48.1450156,17.135318,133.663,5.27
11385,48.1450173,17.1352945,133.659,5.29
11715,48.1450195,17.1352715,133.612,5.186
12045,48.1450217,17.1352485,133.63,5.141
12375,48.1450241,17.1352258,133.666,5.209
12705,48.1450262,17.1352033,133.694,5.109
13035,48.1450279,17.1351841,133.763,5.223
13365,48.1450298,17.1351614,133.81,5.086
13695,48.1450323,17.1351343,133.823,5.244
14025,48.1450345,17.1351112,133.839,5.296
14355,48.1450366,17.1350878,133.918,5.23
14685,48.1450385,17.1350642,133.877,5.275
15015,48.1450404,17.1350406,133.812,5.314
15345,48.1450426,17.1350168,133.867,5.292
15675,48.1450455,17.1349939,133.83,5.209
16005,48.1450493,17.1349682,133.785,5.031
16390,48.1450521,17.134946,133.777,5.028
16720,48.1450542,17.1349228,133.821,5.176
17050,48.1450569,17.1349003,133.822,5.124
17380,48.1450588,17.1348773,133.826,5.182
17710,48.1450607,17.1348544,133.8,5.243
18040,48.1450625,17.1348315,133.811,5.198
18370,48.1450643,17.1348086,133.818,5.161
18700,48.1450659,17.1347856,133.795,5.263
19030,48.1450673,17.1347626,133.772,5.171
19360,48.1450688,17.1347399,133.819,5.171
19690,48.1450708,17.1347175,133.819,5.131
20020,48.1450729,17.1346959,133.806,5.017
20350,48.1450749,17.134673,133.85,5.192
20680,48.1450769,17.1346502,133.817,5.194
21065,48.1450806,17.1346242,133.829,5.097
21395,48.1450838,17.1346017,133.818,5.176
21725,48.1450864,17.1345795,133.903,5.094
22055,48.1450886,17.1345564,133.911,5.081
22385,48.1450908,17.1345339,134.005,5.086
22715,48.1450919,17.1345116,134.139,5.015
23045,48.1450938,17.1344888,134.032,5.215
23375,48.1450956,17.1344658,134.078,5.348
23705,48.1450973,17.1344432,134.203,5.094
24035,48.1451005,17.1344214,134.129,4.923
24365,48.1451031,17.1343988,134.166,5.136
24695,48.1451053,17.134376,134.104,5.252
25025,48.1451078,17.1343538,134.122,5.11
25355,48.1451109,17.134332,134.148,5.132
25685,48.1451144,17.1343082,134.197,4.714
26070,48.1451179,17.1342882,134.54,4.637
26400,48.1451204,17.1342655,134.553,5.028
26730,48.1451225,17.134242,134.396,5.238
27060,48.1451243,17.1342189,134.552,5.257
27390,48.1451268,17.1341967,134.443,5.051
27720,48.1451285,17.1341731,134.394,5.398
28050,48.1451309,17.1341504,134.369,5.229
28380,48.1451333,17.1341281,134.316,5.039
28710,48.1451355,17.1341045,134.324,5.229
29040,48.1451376,17.1340812,134.26,5.178
29370,48.1451398,17.1340577,134.229,5.315
29700,48.1451431,17.1340364,134.181,5.029
30030,48.1451454,17.1340133,134.118,5.186
30415,48.1451473,17.133989,134.197,5.296
30690,48.1451492,17.1339647,134.213,5.497
31075,48.1451518,17.1339369,134.241,5.401
31405,48.1451543,17.1339133,134.238,5.34
31735,48.1451569,17.1338896,134.261,5.263
32065,48.1451595,17.1338664,134.283,5.29
32395,48.1451621,17.1338431,134.298,5.192
32725,48.1451644,17.1338198,134.275,5.249
33055,48.145167,17.1337966,134.253,5.196
33385,48.1451699,17.1337732,134.276,5.306
33715,48.1451734,17.1337508,134.292,5.227
34045,48.1451764,17.1337283,134.323,5.145
34375,48.1451794,17.1337057,134.366,5.179
34705,48.1451821,17.1336831,134.322,5.135
35035,48.1451842,17.1336602,134.324,5.113
35365,48.1451863,17.1336374,134.375,5.208
35750,48.1451892,17.1336107,134.414,5.257
36080,48.1451917,17.1335887,134.484,5.016
36410,48.1451936,17.1335658,134.57,5.111
36740,48.1451956,17.1335434,134.592,5.091
37070,48.145197,17.1335211,134.682,5.008
37400,48.1451986,17.1334984,134.74,5.082
37730,48.1452007,17.133476,134.74,5.091
38060,48.1452033,17.1334535,134.735,5.118
38390,48.145206,17.1334319,134.751,4.929
38720,48.1452085,17.1334104,134.713,4.87
39050,48.1452106,17.1333884,134.703,5.036
39380,48.145213,17.1333667,134.725,4.91
39710,48.1452148,17.1333444,134.674,4.953
40040,48.145217,17.1333225,134.707,5.01
40370,48.1452184,17.1333001,134.72,4.995
40755,48.1452211,17.1332735,134.642,5.207
41085,48.1452225,17.1332505,134.725,5.279
41415,48.1452244,17.1332276,134.849,5.157
41745,48.1452266,17.1332046,134.855,5.252
42075,48.1452288,17.1331816,134.833,5.258
42405,48.145231,17.1331586,134.838,5.221
42735,48.145233,17.1331361,134.934,5.121
43065,48.145235,17.1331139,135.033,5.147
43395,48.1452363,17.133091,135.031,5.227
43725,48.1452376,17.1330683,134.928,5.225
44055,48.1452408,17.1330463,134.868,5.156
44385,48.1452426,17.1330234,134.931,5.15
44715,48.1452445,17.1330003,134.959,5.245
45045,48.1452467,17.1329776,135.043,5.156
45375,48.1452494,17.1329509,135.206,5.275
45705,48.1452516,17.1329322,135.416,5.13
46090,48.1452544,17.132906,135.462,5.046
46420,48.1452564,17.1328828,135.566,5.257
46750,48.1452585,17.1328603,135.648,5.036
47080,48.1452637,17.1328412,135.607,4.392
47410,48.1452672,17.1328201,135.642,4.874
47740,48.1452698,17.1327982,135.695,4.919
48070,48.1452723,17.1327761,135.725,5
48400,48.1452751,17.1327545,135.743,4.916
48730,48.1452769,17.1327319,135.714,5.039
49060,48.1452794,17.1327105,135.714,5.005
49390,48.145281,17.1326882,135.713,4.938
49720,48.1452827,17.1326658,135.734,5.048
50050,48.1452845,17.1326434,135.75,5.073
50380,48.1452862,17.1326213,135.779,5.042
50765,48.1452881,17.1325995,135.765,4.912
51095,48.1452903,17.1325745,135.623,4.816
51425,48.1452916,17.1325525,135.526,4.742
51755,48.1452927,17.1325313,135.455,4.66
52085,48.1452938,17.1325101,135.444,4.697
52415,48.1452951,17.1324899,135.341,4.568
52745,48.145298,17.1324711,135.23,4.338
53075,48.1453016,17.1324535,135.133,4.141
53405,48.145306,17.1324369,135.049,3.937
53735,48.1453111,17.1324214,135.006,3.707
54065,48.1453167,17.1324069,134.973,3.743
54395,48.1453231,17.1323936,134.91,3.705
54725,48.1453301,17.1323814,135.007,3.604
55055,48.1453374,17.1323704,135.076,3.373
55440,48.1453448,17.1323617,135.01,3.014
55770,48.1453538,17.1323537,134.993,2.869
56045,48.145361,17.1323493,135.012,2.562
56430,48.1453676,17.1323462,135.095,2.172
56760,48.1453738,17.1323462,135.322,1.851
57090,48.1453794,17.1323454,135.524,1.732
57420,48.1453836,17.1323434,135.476,1.529
57750,48.145388,17.1323419,135.431,1.621
58080,48.1453931,17.1323388,135.422,2.067
58410,48.1453963,17.1323351,135.346,1.488
58740,48.1454009,17.1323281,135.295,1.963
59070,48.1454037,17.1323198,135.268,2.24
59400,48.1454077,17.1323133,135.121,2.222
59730,48.1454124,17.1323048,135.184,2.455
60060,48.1454171,17.1322972,135.133,2.232
60390,48.1454223,17.1322886,135.139,2.164
60775,48.145426,17.1322811,135.093,2.021
61105,48.1454291,17.132274,135.003,1.86
61435,48.1454323,17.1322673,134.926,1.774
61765,48.1454355,17.1322611,134.855,1.715
62095,48.1454377,17.1322536,134.765,1.902
62425,48.1454402,17.132246,134.773,1.926
62755,48.145442,17.1322364,134.707,2.301
63085,48.1454437,17.1322281,134.66,1.961
63415,48.1454447,17.132219,134.618,1.97
63745,48.1454453,17.1322085,134.548,2.416
64075,48.1454466,17.1321984,134.375,2.423
64405,48.1454493,17.1321881,134.331,2.497
64735,48.1454525,17.1321772,134.337,2.711
65065,48.145455,17.1321656,134.344,2.795
65395,48.1454578,17.1321526,134.274,2.688
65780,48.1454599,17.132143,134.285,2.692
66110,48.1454632,17.1321288,134.333,2.831
66440,48.1454655,17.1321166,134.327,2.847
