Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1476963,17.1629227,133.411,4.116
440,48.147689,17.162905,133.582,4.078
825,48.1476812,17.1628874,133.568,4.023
1210,48.1476753,17.1628704,133.642,3.559
1595,48.1476698,17.1628511,133.578,3.533
2035,48.1476675,17.1628342,133.669,3.417
2420,48.1476661,17.1628174,133.63,3.309
2805,48.1476651,17.1627989,133.644,3.184
3245,48.1476634,17.162782,133.601,3.21
3630,48.147662,17.1627657,133.567,3.271
4015,48.1476603,17.1627489,133.531,3.267
4400,48.1476559,17.162731,133.495,3.32
4840,48.1476499,17.1627169,133.472,3.211
5225,48.1476424,17.162705,133.488,3.254
5610,48.1476327,17.1626961,133.495,3.258
5995,48.1476199,17.16269,133.482,3.346
6435,48.1476078,17.1626895,133.497,3.419
6820,48.1475956,17.1626909,133.498,3.633
7205,48.1475835,17.1626941,133.434,3.55
7590,48.1475691,17.1627007,133.476,3.87
8030,48.1475564,17.1627066,133.599,4.016
8415,48.1475431,17.1627107,133.735,4.027
8800,48.1475279,17.1627151,133.817,3.953
9185,48.1475147,17.1627194,133.98,3.978
9625,48.147501,17.1627227,134.098,3.942
10010,48.1474875,17.1627242,134.224,3.933
10395,48.1474725,17.162727,134.362,3.901
10835,48.1474594,17.1627291,134.544,3.931
11220,48.1474444,17.1627297,134.634,3.711
11605,48.1474311,17.1627298,134.785,3.862
11990,48.1474183,17.1627295,134.788,3.624
12430,48.1474059,17.1627263,134.897,3.64
12815,48.1473947,17.162722,134.895,3.258
13255,48.1473836,17.1627154,134.89,3.59
13640,48.1473712,17.1627058,134.937,3.504
14025,48.1473621,17.1626954,134.932,3.422
14410,48.1473548,17.1626833,134.999,3.109
14850,48.1473482,17.1626683,134.975,3.109
15235,48.1473443,17.1626542,135.086,2.895
15620,48.1473412,17.1626396,135.097,2.86
16005,48.1473395,17.1626242,135.094,2.953
16445,48.1473384,17.1626085,135.106,2.998
16830,48.147336,17.162593,135.111,3.055
17215,48.1473334,17.1625755,135.151,3.091
17600,48.1473317,17.1625601,135.002,2.971
18040,48.1473291,17.1625463,134.985,2.633
18425,48.1473268,17.1625306,134.996,3.087
18810,48.1473241,17.1625121,135.016,3.065
19195,48.147321,17.1624927,134.965,3.354
19635,48.1473183,17.1624754,134.884,3.449
20020,48.1473149,17.1624582,134.908,3.488
20405,48.1473125,17.1624403,134.814,3.407
20845,48.1473091,17.1624199,134.754,3.598
21230,48.1473064,17.1624013,134.743,3.656
21615,48.1473039,17.162382,134.628,3.783
22000,48.1473005,17.16236,134.534,3.753
22440,48.1472962,17.1623379,134.493,3.763
22715,48.1472922,17.1623182,134.506,3.934
23210,48.1472887,17.1622973,134.461,3.862
23595,48.1472857,17.1622781,134.534,3.618
24035,48.1472827,17.1622583,134.47,3.754
24420,48.1472806,17.1622382,134.44,3.863
24860,48.1472783,17.1622183,134.483,4.038
25190,48.1472759,17.1621976,134.611,4.062
25630,48.147274,17.1621775,134.626,3.899
26015,48.1472708,17.162155,134.652,3.891
26400,48.1472672,17.1621363,134.76,3.744
26840,48.1472635,17.1621148,134.837,3.688
27225,48.1472608,17.162096,134.691,3.618
27610,48.1472593,17.1620743,134.601,3.536
27995,48.1472605,17.1620551,134.476,3.556
28435,48.1472641,17.1620375,134.316,3.41
28820,48.1472702,17.1620214,134.267,3.534
29205,48.1472786,17.1620075,134.086,3.626
29590,48.1472909,17.1619941,133.945,3.826
30030,48.1473018,17.1619858,133.808,3.929
30415,48.1473153,17.1619775,133.638,4.33
30800,48.1473329,17.1619698,133.414,4.785
31240,48.1473496,17.1619643,133.228,5.071
31625,48.1473704,17.1619581,132.96,5.482
32010,48.1473896,17.1619531,132.748,5.544
32395,48.1474126,17.1619467,132.742,5.742
32835,48.1474326,17.161941,132.755,5.65
33220,48.1474554,17.1619348,132.765,5.773
33605,48.1474751,17.1619291,132.729,5.616
34045,48.1474952,17.1619226,132.657,5.632
34430,48.1475146,17.1619167,132.605,5.462
34815,48.147534,17.1619116,132.459,5.505
35200,48.1475528,17.1619059,132.372,5.497
35640,48.1475714,17.1619002,132.268,5.399
35915,48.1475902,17.1618946,132.211,5.49
36080,48.1476084,17.1618884,132.23,5.314
36300,48.1476288,17.1618824,132.215,5.232
36465,48.1476495,17.1618771,132.137,5.328
36685,48.1476673,17.1618726,132.241,5.088
36905,48.1476851,17.1618692,132.43,5.077