Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.0638281,17.1694423,127.332,3.283
385,48.0638182,17.1694555,127.374,3.339
825,48.0638088,17.1694711,127.274,3.685
1210,48.0637973,17.1694869,127.669,3.547
1595,48.0637885,17.1695001,127.862,3.284
2035,48.0637783,17.1695138,128.002,3.394
2420,48.0637673,17.1695303,127.393,3.527
2805,48.063756,17.1695427,127.494,3.498
3190,48.0637457,17.1695562,127.318,3.605
3630,48.0637357,17.1695703,127.032,3.501
4015,48.0637228,17.1695802,126.918,3.041
4400,48.0637126,17.1695902,126.721,3.218
4785,48.0637025,17.1695989,126.658,3.04
5225,48.0636945,17.1696085,126.672,2.738
5610,48.0636871,17.1696186,126.666,2.38
5995,48.0636788,17.1696287,127.014,2.712
6380,48.0636731,17.1696349,127.286,1.9
6820,48.0636697,17.1696473,127.78,2.141
7205,48.0636624,17.1696559,128.447,2.197
7590,48.0636572,17.1696619,128.586,1.878
7975,48.0636529,17.1696717,128.755,1.806
8415,48.0636451,17.1696848,128.383,2.475
8800,48.063635,17.1696938,128.218,2.926
9185,48.0636239,17.169708,128.054,3.532
9625,48.0636158,17.1697191,128.425,3.203
10010,48.0636025,17.1697342,128.359,3.646
10395,48.0635946,17.1697454,128.505,2.996
10780,48.0635879,17.1697573,128.479,2.697
11220,48.0635806,17.1697693,128.041,2.595
11605,48.0635704,17.1697833,127.62,3.437
11990,48.0635614,17.1697992,127.194,3.538
12375,48.0635508,17.1698113,127.014,3.342
12815,48.06354,17.1698251,126.413,3.331
13200,48.0635308,17.1698382,125.9,3.209
13585,48.0635227,17.1698526,125.776,2.999
14025,48.0635102,17.1698667,125.673,3.435
14410,48.063497,17.1698771,125.367,3.68
14795,48.0634814,17.1698848,125.663,3.729
15180,48.0634657,17.1698892,126.395,3.697
15620,48.0634487,17.1698976,126.372,3.728
16005,48.0634353,17.1699029,126.176,3.615
16390,48.0634215,17.1699116,126.292,3.654
16830,48.0634081,17.16992,126.238,3.596
17215,48.0633929,17.1699292,126.6,3.244
17600,48.0633793,17.1699389,126.9,3.443
17985,48.0633652,17.1699485,126.602,3.477
18425,48.0633506,17.1699594,126.452,3.903
18810,48.063336,17.1699701,126.661,3.565
19195,48.063324,17.1699813,126.739,3.74
19580,48.0633111,17.1699913,126.834,3.657
20020,48.0632959,17.170007,127.262,4.07
20405,48.0632848,17.1700169,127.067,3.327
20790,48.063275,17.1700264,126.934,3.129
21230,48.0632656,17.1700359,126.786,3.013
21615,48.0632548,17.1700459,126.319,2.731
22000,48.0632452,17.1700549,126.084,2.733
22385,48.0632338,17.1700646,125.868,3.273
22825,48.0632232,17.1700737,125.974,2.704
23210,48.0632132,17.1700825,126.005,2.868
23595,48.0632026,17.1700923,125.855,3.088
23980,48.0631909,17.1701067,126.147,3.247
24420,48.06318,17.170119,126.474,3.33
24805,48.0631689,17.1701317,126.408,3.67
