Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.0932959,17.1482015,127.373,3.909,3.93,1650297145310000,119,3
110,48.0932976,17.1482003,127.362,3.851,3.91,1650297145420000,119,3
165,48.093301,17.1481979,127.337,3.834,3.86,1650297145475000,119,3
220,48.0933025,17.1481962,127.367,3.823,3.84,1650297145530000,119,3
330,48.0933059,17.1481936,127.368,3.848,3.82,1650297145640000,119,3
385,48.0933077,17.1481928,127.315,3.804,3.85,1650297145695000,119,3
495,48.0933109,17.1481901,127.304,3.821,3.79,1650297145805000,119,3
550,48.0933125,17.1481887,127.313,3.786,3.82,1650297145860000,119,3
660,48.0933156,17.1481864,127.318,3.613,3.62,1650297145970000,119,3
715,48.0933173,17.148185,127.277,3.825,3.61,1650297146025000,119,3
770,48.0933191,17.1481835,127.266,3.955,3.83,1650297146080000,119,3
880,48.0933221,17.1481805,127.247,3.795,3.91,1650297146190000,119,3
935,48.0933236,17.1481792,127.254,3.656,3.8,1650297146245000,119,3
1045,48.0933269,17.1481764,127.261,3.849,3.64,1650297146355000,119,3
1155,48.0933286,17.148175,127.259,3.868,3.85,1650297146465000,119,3
1210,48.0933317,17.1481723,127.256,3.699,3.78,1650297146520000,119,3
1265,48.0933332,17.148171,127.264,3.678,3.7,1650297146575000,119,3
1375,48.0933365,17.148168,127.236,3.82,3.82,1650297146685000,119,3
1430,48.093338,17.1481668,127.212,3.743,3.82,1650297146740000,119,3
1540,48.0933411,17.1481639,127.214,3.773,3.7,1650297146850000,119,3
1595,48.0933427,17.1481623,127.22,3.766,3.77,1650297146905000,119,3
1705,48.0933443,17.148161,127.205,3.738,3.77,1650297147015000,119,3
1760,48.0933474,17.1481581,127.201,3.734,3.73,1650297147070000,119,3
1870,48.0933489,17.1481566,127.203,3.713,3.74,1650297147180000,119,3
1925,48.0933519,17.1481536,127.184,3.763,3.71,1650297147235000,119,3
1980,48.093355,17.1481509,127.169,3.685,3.76,1650297147290000,119,3
2090,48.0933565,17.1481491,127.192,3.753,3.69,1650297147400000,119,3
2145,48.0933596,17.148146,127.177,3.792,3.79,1650297147455000,119,3
2255,48.0933612,17.1481446,127.158,3.808,3.79,1650297147565000,119,3
2310,48.0933642,17.1481414,127.162,3.746,3.83,1650297147620000,119,3
2420,48.0933657,17.1481398,127.164,3.763,3.75,1650297147730000,119,3
2475,48.0933688,17.1481367,127.123,3.847,3.77,1650297147785000,119,3
2585,48.0933704,17.148135,127.111,3.859,3.85,1650297147895000,119,3
2640,48.0933718,17.1481332,127.122,3.859,3.86,1650297147950000,119,3
2695,48.0933749,17.14813,127.109,3.858,3.79,1650297148005000,119,3
2805,48.0933765,17.1481285,127.086,3.913,3.86,1650297148115000,119,3
2860,48.0933797,17.1481249,127.077,3.966,3.95,1650297148170000,119,3
2970,48.0933813,17.1481232,127.066,3.995,3.97,1650297148280000,119,3
3025,48.0933842,17.1481198,127.049,3.872,3.88,1650297148335000,119,3
3135,48.0933859,17.1481178,127.042,4.03,3.88,1650297148445000,119,3
3190,48.0933874,17.1481157,127.029,4.116,4.03,1650297148500000,119,3
3300,48.0933904,17.1481116,126.992,4.118,4.06,1650297148610000,119,3
3355,48.0933918,17.1481096,126.966,4.097,4.12,1650297148665000,119,3
3465,48.0933945,17.1481051,127.008,4.047,4.13,1650297148775000,119,3
3520,48.0933957,17.1481028,127.022,3.987,4.05,1650297148830000,119,3
3630,48.0933987,17.1480978,126.94,4.431,4.08,1650297148940000,119,3
3690,48.0934005,17.1480954,126.879,4.664,4.44,1650297149000000,119,3
3740,48.0934021,17.148093,126.867,4.578,4.67,1650297149050000,119,3
3850,48.0934048,17.1480884,126.827,4.345,4.37,1650297149160000,119,3
3905,48.0934064,17.1480857,126.812,4.578,4.35,1650297149215000,119,3
4015,48.0934093,17.1480804,126.824,4.572,4.59,1650297149325000,119,3
4070,48.0934106,17.1480782,126.811,4.305,4.58,1650297149380000,119,3
4180,48.093412,17.1480757,126.839,4.331,4.31,1650297149490000,119,3
4235,48.0934153,17.1480711,126.824,4.363,4.49,1650297149545000,119,3
4345,48.0934168,17.148069,126.835,4.277,4.37,1650297149655000,119,3
