Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1118155,17.1425891,131.962,4.146
385,48.1118282,17.1425981,131.931,4.058
825,48.1118444,17.1426083,131.867,4.332
1210,48.1118582,17.1426171,131.888,4.349
1595,48.1118721,17.1426258,131.837,4.249
1980,48.1118858,17.1426344,131.696,4.146
2420,48.1119028,17.142644,131.534,4.489
2805,48.1119181,17.1426509,131.472,4.503
3190,48.1119338,17.1426598,131.426,4.773
3630,48.1119498,17.1426687,131.398,4.841
4015,48.1119675,17.1426783,131.458,4.649
4400,48.1119826,17.1426878,131.45,4.623
4785,48.1119973,17.1426974,131.422,4.646
5225,48.1120122,17.1427059,131.447,4.551
5610,48.1120286,17.1427166,131.42,4.477
5995,48.1120439,17.1427236,131.486,4.592
6380,48.1120589,17.1427319,131.49,4.596
6820,48.1120761,17.142741,131.424,4.508
7205,48.1120914,17.1427492,131.334,4.743
7590,48.1121066,17.1427578,131.268,4.63
7975,48.1121209,17.1427676,131.092,4.324
8415,48.1121377,17.142779,130.923,4.604
8800,48.1121525,17.1427907,130.74,4.73
9185,48.1121676,17.1428004,130.675,4.642
9625,48.1121845,17.1428127,130.503,4.687
10010,48.1121999,17.1428223,130.371,4.871
10395,48.1122166,17.1428297,130.366,4.896
10835,48.1122329,17.1428383,130.498,4.91
11220,48.1122505,17.1428512,130.511,4.913
11605,48.1122649,17.1428638,130.502,4.82
11990,48.1122789,17.1428771,130.524,4.782
12375,48.1122927,17.1428901,130.514,4.627
12815,48.1123095,17.1429034,130.458,4.752
13200,48.1123242,17.1429145,130.491,4.705
13585,48.1123395,17.1429269,130.485,4.924
14025,48.1123546,17.1429391,130.414,4.937
14410,48.1123714,17.1429542,130.359,4.799
14795,48.1123866,17.1429665,130.363,4.8
15180,48.1124018,17.1429781,130.303,4.637
15620,48.1124194,17.14299,130.251,4.768
16005,48.1124348,17.1429992,130.091,4.781
16390,48.1124503,17.1430095,130.12,4.802
16775,48.1124666,17.1430194,130.073,4.94
17215,48.1124849,17.1430296,130.09,4.819
17600,48.1125012,17.1430381,130.074,4.892
17985,48.1125178,17.1430453,130.077,4.819
18425,48.1125341,17.1430526,130.176,4.811
18810,48.112552,17.1430628,130.208,4.755
19195,48.1125665,17.1430734,130.27,4.626
19580,48.112581,17.1430851,130.26,4.614
20020,48.1125973,17.1430993,130.293,4.676
20405,48.1126114,17.1431117,130.362,4.576
20790,48.1126256,17.1431236,130.41,4.541
21230,48.11264,17.1431353,130.372,4.595
21615,48.1126566,17.1431478,130.442,4.535
22000,48.1126719,17.1431581,130.498,4.691
22385,48.1126867,17.1431696,130.497,4.715
22825,48.1127015,17.1431816,130.51,4.728
23210,48.1127191,17.1431937,130.568,4.812
23595,48.1127341,17.1432049,130.508,4.836
24035,48.1127495,17.1432164,130.539,4.904
24420,48.1127674,17.1432286,130.456,4.925
24805,48.1127831,17.1432385,130.519,4.946
25190,48.112799,17.143247,130.589,4.872
25575,48.1128151,17.1432555,130.609,4.882
26015,48.112834,17.1432651,130.623,4.887
26400,48.1128502,17.1432723,130.724,4.74
26785,48.1128662,17.1432796,130.736,4.868
27170,48.1128848,17.1432883,130.744,4.776
27610,48.1129016,17.1432956,130.762,5.01
27995,48.1129183,17.1433035,130.765,4.987
28380,48.1129353,17.14331,130.84,5.03
28820,48.1129547,17.1433172,130.89,5.038
29205,48.1129712,17.1433239,130.869,4.914
29590,48.112987,17.143331,130.893,4.687
29975,48.1130029,17.1433377,130.897,4.716
30415,48.1130201,17.1433458,130.892,4.527
30800,48.113035,17.1433532,130.858,4.541
31185,48.1130501,17.1433614,130.843,4.536
31625,48.1130654,17.1433696,130.793,4.705
32010,48.113083,17.1433791,130.837,4.704
32395,48.113099,17.143388,130.837,4.86
32780,48.113115,17.1433965,130.805,4.866
33220,48.1131331,17.1434066,130.86,4.836
33605,48.1131498,17.1434156,130.885,5.045
33990,48.1131662,17.143424,131.02,4.96
34375,48.113182,17.1434326,131.036,4.687
34815,48.1131997,17.1434414,131.31,4.703
35200,48.1132158,17.14345,131.383,4.861
35585,48.1132308,17.143461,131.382,4.808
36025,48.1132463,17.1434722,131.311,4.951
36410,48.113264,17.1434824,131.367,4.672
36795,48.1132799,17.1434933,131.386,4.938
37180,48.1132952,17.143504,131.356,4.832
37620,48.1133127,17.1435163,131.386,4.863
38005,48.1133279,17.1435277,131.498,4.897
38390,48.1133431,17.1435397,131.585,4.975
38830,48.1133585,17.1435518,131.512,5.064
39214,48.1133763,17.1435652,131.31,4.952
39599,48.113392,17.1435733,131.45,4.816
39984,48.1134084,17.1435809,131.57,4.847
40424,48.113424,17.1435893,131.684,4.803
40809,48.1134404,17.1435989,131.916,4.47
41194,48.1134547,17.1436101,131.827,4.596
41579,48.1134705,17.1436202,131.878,4.977
42019,48.1134871,17.1436327,131.741,4.796
42404,48.1135022,17.1436412,131.892,4.615
42789,48.1135178,17.1436508,131.972,4.801
43174,48.1135328,17.1436617,131.977,4.885
43614,48.1135507,17.1436727,132.076,4.883
43999,48.1135667,17.1436813,132.213,4.868
44384,48.1135822,17.1436905,132.138,4.717
44824,48.1136004,17.1437004,132.104,4.843
45209,48.1136164,17.1437085,132.079,4.813
45594,48.1136316,17.1437161,132.009,4.523
45979,48.1136473,17.143724,132.097,4.772
46419,48.1136654,17.1437338,132.17,4.969
46804,48.1136818,17.1437422,132.322,4.95
47189,48.1136979,17.1437492,132.518,4.856
47574,48.1137144,17.1437584,132.496,5.028
48014,48.1137331,17.1437676,132.58,4.966
48399,48.1137494,17.143777,132.638,5.035
48784,48.1137653,17.1437862,132.706,4.853
49224,48.1137839,17.1437973,132.677,5.017
49609,48.1137999,17.1438063,132.703,5.008
49994,48.1138169,17.1438162,132.671,5.284
50379,48.113834,17.1438268,132.599,5.32
50819,48.1138528,17.1438389,132.607,5.147
51204,48.11387,17.1438502,132.612,5.345
51589,48.1138867,17.1438604,132.679,5.285
52029,48.1139057,17.1438721,132.758,5.173
52414,48.1139229,17.1438821,132.766,5.309
52799,48.1139385,17.1438928,132.809,5.012
53184,48.1139545,17.1439032,132.87,4.952
53624,48.1139729,17.1439183,132.871,5.246
54009,48.1139887,17.1439306,132.928,4.978
54394,48.1140046,17.1439431,132.885,5.114
54834,48.1140207,17.1439555,132.811,5.099
55219,48.1140386,17.1439701,132.794,5.081
55604,48.1140549,17.1439831,132.69,5.327
55989,48.1140712,17.1439953,132.671,5.286
