Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1276122,17.1590541,134.16,5.233
55,48.1276148,17.1590535,134.167,5.242
110,48.1276174,17.1590529,134.166,5.245
220,48.1276224,17.1590516,134.176,5.179
330,48.127625,17.1590509,134.182,5.237
385,48.1276302,17.1590498,134.174,5.195
440,48.1276327,17.1590493,134.18,5.191
550,48.1276379,17.1590482,134.176,5.245
605,48.1276404,17.1590476,134.172,5.214
715,48.1276455,17.1590466,134.172,5.197
770,48.1276481,17.1590461,134.167,5.228
880,48.1276532,17.1590451,134.173,5.249
935,48.1276558,17.1590444,134.163,5.198
1045,48.1276583,17.1590438,134.159,5.229
1100,48.1276634,17.1590428,134.172,5.198
1155,48.127666,17.1590422,134.164,5.216
1265,48.1276711,17.159041,134.165,5.193
1320,48.1276736,17.1590403,134.167,5.171
1430,48.1276786,17.1590391,134.156,5.114
1485,48.1276812,17.1590383,134.176,5.221
1595,48.1276863,17.1590372,134.164,5.209
1650,48.1276888,17.1590367,134.167,5.144
1760,48.1276938,17.1590356,134.159,5.164
1815,48.1276964,17.1590351,134.165,5.24
1925,48.127699,17.1590344,134.167,5.206
1980,48.1277041,17.1590333,134.151,5.198
2035,48.1277066,17.1590327,134.155,5.225
2145,48.1277117,17.1590316,134.149,5.177
2200,48.1277142,17.1590311,134.157,5.111
2310,48.1277193,17.1590301,134.164,5.243
2365,48.1277219,17.1590295,134.149,5.281
2475,48.1277269,17.1590288,134.137,5.056
2530,48.1277294,17.1590284,134.14,5.105
2640,48.1277345,17.1590276,134.167,5.105
2695,48.127737,17.1590273,134.154,5.102
2805,48.127742,17.1590264,134.156,5.08
2860,48.1277444,17.159026,134.162,5.014
2915,48.127747,17.1590255,134.162,5.099
3025,48.1277519,17.1590245,134.158,5.023
3080,48.1277544,17.1590241,134.16,5.096
3190,48.1277593,17.1590231,134.164,4.996
3245,48.1277618,17.1590226,134.173,5.003
3355,48.1277667,17.1590217,134.161,5.047
3410,48.1277692,17.1590211,134.158,5.071
3520,48.1277742,17.15902,134.177,5.048
3575,48.1277767,17.1590194,134.161,5.033
3685,48.1277817,17.1590186,134.156,5.098
3740,48.1277842,17.1590181,134.151,5.045
3850,48.1277866,17.1590176,134.147,5.013
3905,48.1277916,17.1590169,134.108,5.046
3960,48.1277941,17.1590164,134.112,5.082
4070,48.1277992,17.1590153,134.097,5.15
4125,48.1278017,17.1590147,134.093,5.08
4235,48.1278066,17.1590137,134.084,5.04
4290,48.1278091,17.1590133,134.077,5.096
4400,48.127814,17.1590125,134.085,4.986
4455,48.1278166,17.1590119,134.083,5.109
4510,48.1278216,17.1590108,134.089,5.07
4620,48.1278239,17.1590103,134.094,4.939
4730,48.127829,17.1590093,134.093,5.097
4785,48.1278315,17.1590088,134.094,5.112
4840,48.1278364,17.159008,134.103,5.053
4950,48.1278388,17.1590076,134.095,4.978
5005,48.1278439,17.1590064,134.107,5.172
5115,48.1278464,17.1590058,134.099,5.144
5170,48.1278513,17.1590048,134.1,5.026
5280,48.1278537,17.1590043,134.119,5.012
5335,48.1278562,17.1590037,134.126,5.071
5445,48.1278612,17.1590026,134.087,5.089
5500,48.1278637,17.1590019,134.099,5.132
5610,48.1278685,17.1590006,134.102,4.983
5665,48.127871,17.1590001,134.095,5.013
5720,48.127876,17.1589989,134.121,5.133
5830,48.1278785,17.1589984,134.112,5.12
5885,48.127881,17.1589979,134.103,5.072
5995,48.1278859,17.1589968,134.116,5.008
6051,48.1278884,17.1589963,134.122,4.992
6105,48.1278933,17.158995,134.121,5.077
6215,48.1278958,17.1589945,134.121,5.099
6325,48.1279008,17.1589934,134.119,5.084
6380,48.1279032,17.1589928,134.121,5.014
6490,48.1279057,17.1589923,134.126,5.044
6545,48.1279107,17.1589912,134.115,5.038
6600,48.1279132,17.1589906,134.125,5.091
6710,48.1279181,17.1589895,134.121,5.073
6765,48.1279207,17.158989,134.105,5.113
6875,48.1279232,17.1589886,134.108,5.104
6930,48.1279282,17.1589878,134.11,5.046
7040,48.1279306,17.1589873,134.103,5.034
7095,48.1279356,17.1589864,134.102,5.047
7205,48.1279381,17.1589858,134.106,5.025
7260,48.1279405,17.1589854,134.104,5.01
7315,48.1279455,17.1589847,134.107,5.017
7425,48.127948,17.1589844,134.097,5.058
7480,48.1279505,17.1589838,134.096,5.059
7590,48.1279555,17.1589828,134.103,5.059
7645,48.1279579,17.1589823,134.089,5.014
7755,48.127963,17.1589813,134.099,5.148
7810,48.1279654,17.1589808,134.088,5.054
7920,48.1279704,17.1589798,134.085,5.072
7975,48.1279753,17.1589788,134.091,4.974
8085,48.1279801,17.1589774,134.129,4.992
8140,48.1279826,17.1589768,134.141,5.001
8250,48.1279849,17.1589763,134.136,4.905
8305,48.12799,17.158975,134.151,5.107
8360,48.1279925,17.1589743,134.156,5.165
8470,48.1279975,17.1589731,134.124,5.041
8525,48.1280024,17.1589719,134.16,5.077
8635,48.1280049,17.1589712,134.157,5.034
8690,48.1280099,17.1589698,134.144,5.106
8800,48.1280125,17.1589691,134.143,5.143
8855,48.1280174,17.1589678,134.155,5.07
8965,48.1280199,17.1589672,134.144,5.058
9020,48.1280224,17.1589665,134.134,5.097
9075,48.1280273,17.1589655,134.134,5.033
9185,48.1280299,17.1589649,134.122,5.088
9240,48.1280349,17.1589638,134.111,5.131
9350,48.1280374,17.1589633,134.104,5.115
9405,48.1280424,17.158962,134.114,5.106
9515,48.1280448,17.1589615,134.118,5.056
9570,48.1280499,17.1589603,134.108,5.118
9680,48.1280523,17.1589597,134.12,5.011
9735,48.1280547,17.1589592,134.118,4.986
9790,48.1280598,17.158958,134.098,5.102
9900,48.1280622,17.1589575,134.118,5.075
10010,48.1280672,17.1589565,134.094,5.063
10065,48.1280697,17.1589559,134.097,5.073
10120,48.1280722,17.1589554,134.113,5.067
10230,48.1280772,17.1589545,134.093,5.09
10285,48.1280797,17.158954,134.096,5.083
10395,48.1280845,17.1589529,134.119,5.032
10450,48.128087,17.1589524,134.115,5.074
10560,48.1280894,17.1589518,134.104,5.031
10615,48.1280943,17.1589507,134.12,4.982
10670,48.1280968,17.1589502,134.124,5.03
10780,48.1281017,17.1589491,134.125,5.009
10890,48.1281041,17.1589485,134.137,4.979
10945,48.128109,17.1589473,134.147,5.013
11000,48.1281114,17.1589468,134.146,4.95
11110,48.1281139,17.1589462,134.151,4.985
11165,48.1281189,17.1589452,134.146,5.047
11275,48.1281213,17.1589447,134.143,5.027
11330,48.1281237,17.1589442,134.144,4.97
11440,48.1281287,17.1589432,134.161,4.974
11495,48.128131,17.1589426,134.171,4.911
11605,48.128136,17.1589414,134.159,5.024
11660,48.1281383,17.1589407,134.155,4.956
11715,48.1281409,17.1589402,134.165,5.038
11825,48.1281458,17.158939,134.165,5.06
11880,48.1281483,17.1589385,134.124,5.096
11990,48.1281557,17.1589367,134.123,5.045
12045,48.1281581,17.158936,134.122,5.007
12155,48.128163,17.1589349,134.121,4.994
12210,48.1281654,17.1589343,134.107,4.974
12320,48.1281703,17.1589332,134.104,5.016
12375,48.1281728,17.1589328,134.099,5.044
12485,48.1281752,17.1589323,134.102,4.98
12540,48.1281803,17.1589312,134.08,5.105
12595,48.1281827,17.1589307,134.066,5.069
12705,48.1281877,17.1589295,134.06,5.101
12760,48.1281902,17.158929,134.043,5.078
12870,48.1281951,17.158928,134.05,4.988
12925,48.1281976,17.1589274,134.047,5.061
13035,48.1282025,17.1589264,134.041,4.978
13090,48.128205,17.1589258,134.047,5.03
13200,48.1282099,17.1589248,134.06,5.042
13255,48.1282124,17.1589243,134.058,5.06
13365,48.1282174,17.1589233,134.058,5.054
13420,48.1282199,17.1589228,134.069,5.064
13475,48.1282224,17.1589224,134.049,5.027
13585,48.1282273,17.1589214,134.049,5.031
13640,48.1282298,17.158921,134.045,5.02
13750,48.1282348,17.1589201,134.048,5.115
13805,48.1282374,17.1589195,134.039,5.14
13915,48.1282423,17.1589184,134.021,5.074
13970,48.1282448,17.1589179,134.034,5.046
14080,48.1282499,17.1589168,134.021,5.162
14135,48.1282523,17.1589162,134.032,5.068
14245,48.1282547,17.1589157,134.022,5.031
14300,48.1282598,17.1589146,134.005,5.079
14355,48.1282623,17.1589139,134.02,5.113
14465,48.1282672,17.1589129,134.024,5.052
14520,48.1282697,17.1589123,134.014,5.127
14630,48.1282747,17.158911,134.014,5.092
14685,48.1282772,17.1589104,134.02,5.078
14795,48.1282823,17.1589091,133.992,5.186
14850,48.1282848,17.1589086,133.997,5.142
14960,48.1282899,17.1589075,133.976,5.154
15015,48.1282923,17.158907,133.974,5.045
15125,48.1282947,17.1589063,133.984,5.02
15180,48.1282996,17.1589051,133.994,5.044
15290,48.1283022,17.1589045,133.971,5.118
15345,48.128307,17.1589035,133.974,5.011
15400,48.1283095,17.1589029,133.989,5.036
15510,48.1283144,17.1589021,133.998,5.061
15565,48.1283169,17.1589016,133.989,5.057
15675,48.128322,17.1589006,133.958,5.136
15730,48.1283245,17.1589,133.941,5.115
15840,48.1283293,17.158899,133.959,4.967
15895,48.1283318,17.1588985,133.952,5.049
16005,48.1283344,17.1588981,133.947,5.063
16060,48.1283395,17.1588972,133.934,5.134
16115,48.1283419,17.1588968,133.927,5.042
16225,48.1283469,17.1588957,133.937,5.083
16280,48.1283494,17.1588951,133.939,5.052
16390,48.1283543,17.1588941,133.952,5.018
