Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1470667,17.1607685,129.414,4.771
55,48.147067,17.1607721,129.438,4.813
165,48.1470677,17.1607791,129.409,4.709
220,48.1470682,17.1607825,129.418,4.707
275,48.1470685,17.1607861,129.428,4.795
385,48.1470693,17.1607933,129.4,4.807
440,48.14707,17.1607967,129.409,4.753
550,48.1470709,17.1608037,129.458,4.719
605,48.1470715,17.1608072,129.474,4.767
715,48.1470724,17.1608142,129.486,4.703
770,48.1470731,17.1608176,129.488,4.694
880,48.1470736,17.1608243,129.447,4.585
935,48.1470743,17.1608278,129.503,4.669
1045,48.1470749,17.1608311,129.528,4.634
1100,48.1470756,17.1608378,129.5,4.572
1155,48.1470762,17.1608411,129.492,4.557
1265,48.1470775,17.1608476,129.465,4.514
1321,48.1470781,17.1608508,129.464,4.53
1430,48.1470791,17.1608573,129.483,4.451
1485,48.1470798,17.1608606,129.49,4.457
1595,48.1470808,17.1608671,129.465,4.47
1650,48.1470816,17.1608703,129.461,4.489
1760,48.1470826,17.1608767,129.465,4.424
1815,48.1470831,17.1608799,129.474,4.433
1925,48.1470838,17.1608831,129.461,4.45
1980,48.1470851,17.1608894,129.506,4.392
2035,48.1470856,17.1608927,129.499,4.518
2145,48.1470866,17.1608992,129.501,4.425
2200,48.147087,17.1609023,129.515,4.364
2310,48.1470883,17.1609085,129.502,4.372
2365,48.1470889,17.1609117,129.507,4.405
2475,48.1470901,17.1609179,129.525,4.3
2530,48.1470905,17.1609211,129.517,4.353
2640,48.1470917,17.1609273,129.473,4.337
2695,48.1470923,17.1609305,129.499,4.317
2805,48.1470929,17.1609337,129.493,4.39
2860,48.1470938,17.1609399,129.482,4.286
2970,48.1470946,17.1609429,129.482,4.291
3025,48.1470953,17.1609492,129.478,4.247
3080,48.1470958,17.1609523,129.48,4.241
3190,48.1470971,17.1609584,129.504,4.232
3245,48.1470976,17.1609617,129.515,4.358
3355,48.1470989,17.1609682,129.531,4.413
3410,48.1470992,17.1609712,129.549,4.257
3520,48.1471,17.1609777,129.546,4.34
3575,48.1471006,17.1609808,129.552,4.315
3685,48.1471012,17.1609841,129.594,4.376
3740,48.1471021,17.1609903,129.611,4.259
3850,48.1471027,17.1609935,129.616,4.341
3905,48.1471039,17.161,129.626,4.456
3960,48.1471043,17.1610033,129.61,4.471
4070,48.1471057,17.1610095,129.619,4.389
4125,48.1471064,17.1610128,129.608,4.43
4235,48.1471074,17.1610191,129.618,4.411
4290,48.1471081,17.1610224,129.631,4.472
4400,48.1471086,17.1610256,129.628,4.409
4455,48.1471098,17.161032,129.632,4.419
4565,48.1471101,17.1610352,129.634,4.375
4620,48.1471113,17.1610417,129.617,4.417
4675,48.1471117,17.1610451,129.627,4.479
4785,48.1471128,17.1610514,129.654,4.378
4840,48.1471134,17.1610546,129.666,4.402
4950,48.1471146,17.1610611,129.672,4.416
5005,48.147115,17.1610642,129.668,4.36
5115,48.1471161,17.1610709,129.743,4.503
5170,48.1471166,17.1610742,129.735,4.529
5280,48.1471179,17.1610805,129.735,4.445
5335,48.1471183,17.1610836,129.726,4.386
5390,48.1471187,17.1610869,129.729,4.427
5500,48.1471193,17.1610934,129.741,4.452
5555,48.1471198,17.1610967,129.755,4.43
5665,48.1471203,17.1611035,129.759,4.576
5720,48.1471208,17.1611068,129.771,4.548
5830,48.1471218,17.1611134,129.788,4.507
5885,48.1471221,17.1611167,129.789,4.454
5995,48.1471229,17.1611234,129.785,4.573
6050,48.1471235,17.1611266,129.83,4.491
6160,48.1471241,17.1611331,129.776,4.458
6215,48.1471246,17.1611364,129.783,4.458
6325,48.1471252,17.1611397,129.807,4.527
6380,48.147126,17.1611463,129.832,4.522
6435,48.1471268,17.1611496,129.847,4.532
6545,48.1471276,17.1611561,129.85,4.461
6600,48.1471279,17.1611593,129.847,4.442
6710,48.1471291,17.161166,129.856,4.576
6765,48.1471296,17.1611692,129.874,4.52
6875,48.1471307,17.1611757,129.9,4.452
6930,48.1471313,17.161179,129.9,4.484
7040,48.1471323,17.1611857,129.918,4.563
7095,48.147133,17.1611891,129.922,4.608
7205,48.1471339,17.1611956,129.957,4.511
7260,48.1471343,17.1611989,129.946,4.542
7370,48.1471348,17.1612023,129.949,4.584
7425,48.1471358,17.1612087,129.973,4.475
7480,48.1471363,17.1612121,130.003,4.498
7590,48.1471374,17.1612185,130.043,4.426
