Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.1453215,17.1650132,129.465,0,0,1650470713705000,9999,0
3740,48.145321,17.1650202,129.465,0,0,1650470717445000,9999,0
3850,48.1453271,17.1650153,129.465,0,0,1650470717555000,9999,0
3905,48.1453165,17.1650243,129.465,0,0,1650470717610000,9999,0
4015,48.1453185,17.1650104,129.465,0,0,1650470717720000,9999,0
4070,48.1453207,17.1650169,129.465,0,0,1650470717775000,9999,0
4070,48.1453241,17.1650106,129.465,0,0,1650470717775000,9999,0
4235,48.1453167,17.1650122,129.465,0,0,1650470717940000,9999,0
4295,48.1453202,17.1650055,129.465,0,0,1650470718000000,9999,0
4295,48.1453242,17.1650019,129.465,0,0,1650470718000000,9999,0
4455,48.1453243,17.1650074,129.465,0,0,1650470718160000,9999,0
4565,48.1453273,17.1650033,129.465,0,0,1650470718270000,9999,0
4620,48.1453267,17.1649904,129.465,0,0,1650470718325000,9999,0
4620,48.1453348,17.1649907,129.465,0,0,1650470718325000,9999,0
4785,48.1453362,17.1649894,129.465,0,0,1650470718490000,9999,0
4785,48.1453282,17.1649776,129.465,0,0,1650470718490000,9999,0
4950,48.1453358,17.1649709,129.465,0,0,1650470718655000,9999,0
5060,48.1453331,17.1649681,129.465,0,0,1650470718765000,9999,0
5060,48.1453419,17.1649687,129.465,0,0,1650470718765000,9999,0
5170,48.1453506,17.1649662,129.465,0,0,1650470718875000,9999,0
5280,48.1453603,17.1649734,129.465,0,0,1650470718985000,9999,0
5390,48.1453521,17.1649588,129.465,0,0,1650470719095000,9999,0
5390,48.1453528,17.1649518,129.465,0,0,1650470719095000,9999,0
5500,48.1453547,17.164951,129.465,0,0,1650470719205000,9999,0
5610,48.1453525,17.1649442,129.465,0,0,1650470719315000,9999,0
5665,48.145352,17.1649386,129.465,0,0,1650470719370000,9999,0
5775,48.145354,17.1649295,129.465,0,0,1650470719480000,9999,0
5775,48.145362,17.1649264,129.465,0,0,1650470719480000,9999,0
5885,48.1453445,17.1649194,129.465,0,0,1650470719590000,9999,0
5995,48.145345,17.1649205,129.465,0,0,1650470719700000,9999,0
6105,48.1453514,17.1649205,129.465,0,0,1650470719810000,9999,0
6105,48.1453404,17.1649097,129.465,0,0,1650470719810000,9999,0
6215,48.145345,17.1649081,129.465,0,0,1650470719920000,9999,0
6325,48.1453499,17.1649077,129.465,0,0,1650470720030000,9999,0
6435,48.1453563,17.1649047,129.465,0,0,1650470720140000,9999,0
6435,48.1453404,17.1648942,129.465,0,0,1650470720140000,9999,0
6545,48.1454599,17.1648052,129.465,0,0,1650470720250000,9999,0
6545,48.1454637,17.1648014,129.465,0,0,1650470720250000,9999,0
6710,48.1454687,17.1647956,129.465,0,0,1650470720415000,9999,0
6820,48.1454572,17.1647745,129.465,0,0,1650470720525000,9999,0
6930,48.1490933,17.1637995,129.464,0,0,1650470720635000,9999,0
6985,48.1490909,17.1638016,129.464,0,0,1650470720690000,9999,0
6985,48.1490948,17.1638,129.464,0,0,1650470720690000,9999,0
7095,48.1491008,17.1638007,129.464,0,0,1650470720800000,9999,0
7205,48.1490927,17.1637917,129.464,0,0,1650470720910000,9999,0
7315,48.1490828,17.1637863,129.464,0,0,1650470721020000,9999,0
7315,48.1490909,17.1637912,129.464,0,0,1650470721020000,9999,0
7425,48.1490993,17.1637898,129.464,0,0,1650470721130000,9999,0
7535,48.1491054,17.1637852,129.464,0,0,1650470721240000,9999,0
7535,48.1491037,17.1637813,129.464,0,0,1650470721240000,9999,0
7645,48.1490974,17.163778,129.464,0,0,1650470721350000,9999,0
7755,48.1491036,17.1637793,129.464,0,0,1650470721460000,9999,0
7865,48.1491147,17.1637842,129.464,0,0,1650470721570000,9999,0
7920,48.1482351,17.160622,129.461,0,0,1650470721625000,9999,0
8030,48.1482337,17.1606064,129.461,0,0,1650470721735000,9999,0
8030,48.1482398,17.1605878,129.461,0,0,1650470721735000,9999,0
8140,48.148232,17.16059,129.462,0,0,1650470721845000,9999,0
8250,48.1482316,17.1606228,129.462,0,0,1650470721955000,9999,0
8305,48.1482384,17.1606343,129.461,0,0,1650470722010000,9999,0
8415,48.1482273,17.1606152,129.462,0,0,1650470722120000,9999,0
8525,48.148222,17.1606271,129.462,0,0,1650470722230000,9999,0
8580,48.1482251,17.1606166,129.461,0,0,1650470722285000,9999,0
8635,48.1482183,17.1605902,129.461,0,0,1650470722340000,9999,0
8745,48.1482265,17.1606016,129.462,0,0,1650470722450000,9999,0
8800,48.1482286,17.1605743,129.462,0,0,1650470722505000,9999,0
8855,48.148227,17.1605786,129.461,0,0,1650470722560000,9999,0
8965,48.1482276,17.1605567,129.461,0,0,1650470722670000,9999,0
9020,48.1482259,17.1605541,129.461,0,0,1650470722725000,9999,0
9130,48.150898,17.1598376,129.46,0,0,1650470722835000,9999,0
9185,48.1509016,17.1598389,129.46,0,0,1650470722890000,9999,0
9295,48.1508907,17.1598334,129.461,0,0,1650470723000000,9999,0
9350,48.1506712,17.1598835,129.461,0,0,1650470723055000,9999,0
9405,48.1506657,17.1598786,129.461,0,0,1650470723110000,9999,0
9515,48.1506732,17.159865,129.461,0,0,1650470723220000,9999,0
9625,48.1506723,17.1598594,129.461,0,0,1650470723330000,9999,0
9625,48.1506766,17.1598654,129.461,0,0,1650470723330000,9999,0
9735,48.1506676,17.1598786,129.461,0,0,1650470723440000,9999,0
