Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1514482,17.1616292,134.016,0
3740,48.151456,17.1616306,134.016,0
3850,48.1514533,17.1616319,134.016,0
3960,48.1514541,17.1616293,134.016,0
4015,48.1514408,17.1616328,134.015,0
4070,48.1514522,17.161634,134.015,0
4180,48.1514542,17.1616353,134.015,0
4235,48.1514534,17.1616269,134.015,0
4345,48.1514518,17.1616319,134.015,0
4400,48.1514532,17.1616314,134.015,0
4510,48.1514535,17.1616315,134.015,0
4565,48.1514471,17.1616374,134.015,0
4620,48.1514418,17.1616396,134.015,0
4730,48.1514453,17.1616416,134.015,0
4840,48.1514489,17.1616428,134.016,0
4895,48.1514511,17.161644,134.015,0
4950,48.1514495,17.1616436,134.015,0
5060,48.1514485,17.1616387,134.015,0
5115,48.1514598,17.1616379,134.015,0
5225,48.1514635,17.1616434,134.015,0
5280,48.1514506,17.1616225,134.015,0
5390,48.1514464,17.1616245,134.015,0
5390,48.1514388,17.1616199,134.015,0
5555,48.1514312,17.1616269,134.015,0
5610,48.1514281,17.1616299,134.015,0
5665,48.1514286,17.1616192,134.015,0
5775,48.1514223,17.1616129,134.015,0
5830,48.1514152,17.1616125,134.015,0
5940,48.1514133,17.1616003,134.015,0
5995,48.1514193,17.1615993,134.015,0
6105,48.1514229,17.1615961,134.015,0
6160,48.151414,17.1615875,134.015,0
6270,48.1515048,17.1616836,134.015,0
6325,48.1514079,17.1615754,134.015,0
6435,48.1514981,17.1616586,134.015,0
6435,48.1514956,17.1616641,134.015,0
6545,48.1514869,17.1616537,134.015,0
6655,48.1514879,17.1616531,134.015,0
6710,48.1514822,17.1616452,134.015,0
6820,48.1514868,17.1616534,134.015,0
6875,48.1514868,17.1616489,134.015,0
6985,48.1514837,17.1616507,134.015,0
7040,48.1514793,17.1616565,134.015,0
7150,48.1514794,17.1616499,134.014,0
7205,48.1497546,17.1613317,134.121,0
7315,48.1497513,17.1613362,134.121,0
7370,48.1497505,17.1613085,134.121,0
7425,48.14975,17.161296,134.121,0
7535,48.1497449,17.1612953,134.121,0
7590,48.1497459,17.1613073,134.121,0
7700,48.1493178,17.1642986,134.155,0
7755,48.1493221,17.1642973,134.155,0
7865,48.1493202,17.1642939,134.154,0
7920,48.1493209,17.1642932,134.154,0
8030,48.1493138,17.1642952,134.154,0
8085,48.1493137,17.1642907,134.154,0
8195,48.1493198,17.1642838,134.154,0
8250,48.1493079,17.1642856,134.154,0
8360,48.149303,17.1642843,134.154,0
8415,48.149295,17.1642746,134.154,0
8525,48.1492972,17.1642762,134.154,0
8580,48.1492988,17.1642614,134.154,0
8635,48.1492918,17.1642491,134.154,0
8745,48.1492812,17.1642471,134.154,0
8800,48.1492806,17.16425,134.153,0
8800,48.1492773,17.1642498,134.153,0
8965,48.1492703,17.1642468,134.153,0
9075,48.1492716,17.1642463,134.153,0
9130,48.1492637,17.1642249,134.153,0
9185,48.1492581,17.1642123,134.153,0
9295,48.1492328,17.1641882,134.152,0
9355,48.1492344,17.1641855,134.152,0
9355,48.1492342,17.1641782,134.152,0
9515,48.1492245,17.1641715,134.152,0
9625,48.1492224,17.1641676,134.152,0
9680,48.1492174,17.1641608,134.152,0
9790,48.1492097,17.1641642,134.152,0
9845,48.1491969,17.1641507,134.151,0
9955,48.1491954,17.1641568,134.151,0
10010,48.1491957,17.164154,134.151,0
10065,48.149185,17.1641554,134.152,0
10175,48.1491797,17.16415,134.152,0
10230,48.1491757,17.1641357,134.152,0
10340,48.1491702,17.1641349,134.152,0
10395,48.1491619,17.1641339,134.152,0
10505,48.1491669,17.1641408,134.152,0
10615,48.1491605,17.1641387,134.151,0
10670,48.1491615,17.1641385,134.152,0
10725,48.1491651,17.164127,134.152,0
10835,48.149161,17.1641114,134.152,0
10890,48.1491727,17.1641178,134.152,0
10945,48.1491687,17.164109,134.152,0
11055,48.149166,17.1641102,134.152,0
11165,48.1491676,17.1641115,134.152,0
11220,48.1491669,17.1641075,134.152,0
11275,48.1491498,17.1640805,134.151,0
11385,48.149154,17.1640828,134.151,0
11440,48.1491568,17.1640727,134.151,0
11440,48.1491609,17.1640689,134.151,0
11605,48.1491582,17.1640632,134.151,0
11715,48.1491593,17.1640598,134.151,0
11770,48.1491592,17.1640549,134.151,0
11825,48.1491587,17.1640519,134.151,0
11935,48.1491602,17.1640418,134.151,0
11990,48.1491605,17.1640314,134.151,0
12100,48.1491717,17.164032,134.151,0
12155,48.1491721,17.1640268,134.151,0
12265,48.1491715,17.164032,134.151,0
12320,48.1491711,17.1640385,134.151,0
12430,48.1491692,17.1640381,134.151,0
12540,48.1491681,17.164044,134.151,0
12595,48.1491725,17.1640368,134.151,0
12650,48.1491791,17.164027,134.151,0
12760,48.1491806,17.1640218,134.151,0
12815,48.1491768,17.1640172,134.151,0
