Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,48.0811801,17.1737297,131.37,0.063,0.03,1650649577554000,186,3
3740,48.0811799,17.1737295,131.366,0.098,0.07,1650649581294000,168,3
3850,48.0811798,17.1737295,131.353,0.136,0.1,1650649581404000,168,3
3905,48.0811797,17.1737294,131.365,0.147,0.14,1650649581459000,168,3
4015,48.0811793,17.1737291,131.377,0.054,0.03,1650649581569000,168,3
4070,48.0811792,17.1737291,131.4,0.063,0.05,1650649581624000,168,3
4180,48.0811791,17.1737291,131.426,0.052,0.07,1650649581734000,168,3
4235,48.081179,17.173729,131.433,0.071,0.06,1650649581789000,168,3
4345,48.0811789,17.1737288,131.465,0.103,0.14,1650649581899000,168,3
4400,48.0811789,17.1737286,131.476,0.159,0.11,1650649581954000,168,3
4510,48.0811791,17.1737288,131.487,0.128,0.15,1650649582064000,168,3
4565,48.0811789,17.1737286,131.501,0.056,0.13,1650649582119000,168,3
4620,48.0811789,17.1737285,131.5,0.09,0.06,1650649582174000,168,3
4730,48.0811797,17.173728,131.546,0.516,0.28,1650649582284000,168,3
4785,48.08118,17.173728,131.539,0.545,0.52,1650649582339000,168,3
4895,48.0811809,17.1737273,131.538,0.829,0.64,1650649582449000,168,3
4950,48.0811814,17.1737272,131.554,0.874,0.83,1650649582504000,168,3
5060,48.0811832,17.1737273,131.591,1.189,1.04,1650649582614000,168,3
5115,48.0811839,17.1737271,131.59,1.238,1.19,1650649582669000,168,3
5225,48.0811846,17.1737261,131.658,1.172,1.11,1650649582779000,168,3
5280,48.0811855,17.1737258,131.686,1.349,1.17,1650649582834000,168,3
5390,48.0811859,17.1737253,131.711,1.274,1.35,1650649582944000,168,3
5446,48.0811869,17.1737259,131.699,1.013,1.15,1650649583000000,168,3
5500,48.0811875,17.1737257,131.698,1.067,1.01,1650649583054000,168,3
5610,48.0811885,17.1737259,131.673,1.025,1,1650649583164000,168,3
5665,48.0811896,17.173726,131.657,1.273,1.03,1650649583219000,168,3
5775,48.0811905,17.173726,131.705,1.095,1.16,1650649583329000,168,3
5830,48.0811909,17.1737258,131.721,1.049,1.09,1650649583384000,168,3
5940,48.0811924,17.1737258,131.747,1.16,1.11,1650649583494000,168,3
